temperature,humidity,wind_speed,precipitation,atmospheric_pressure,rain
31.8,45.3,22.6,3.7,1001.9,1
34.1,46.6,17.7,5.8,1002.9,0
32.0,77.7,25.4,9.5,1007.3,0
16.8,68.2,28.9,9.4,1008.2,0
16.8,81.3,19.3,4.9,1013.7,0
31.2,36.9,25.9,0.6,1012.9,0
26.7,60.3,25.0,0.1,1000.5,0
33.6,86.4,8.3,4.9,1014.7,0
15.5,77.9,5.5,4.2,1009.4,0
25.2,80.6,29.1,2.1,1016.4,0
18.4,44.1,27.1,0.9,1015.0,0
22.3,59.7,17.2,7.7,1018.7,1
22.5,62.6,6.2,5.2,1018.1,1
32.2,44.8,6.4,9.6,1013.4,0
24.5,61.4,8.4,1.0,1015.0,1
25.9,79.2,5.6,0.8,1019.6,0
17.4,84.4,24.9,5.5,1006.0,1
34.9,36.6,17.7,8.1,1005.7,1
19.2,82.3,24.4,8.8,1001.1,0
29.5,63.9,5.5,8.1,1007.3,0
23.2,73.7,9.3,4.9,1017.7,0
17.3,50.8,22.8,6.2,1019.2,0
25.8,42.7,16.4,1.0,1011.9,0
27.4,36.5,9.3,7.2,1017.2,0
29.0,61.2,14.8,8.4,1003.6,0
20.2,56.1,15.8,8.6,1005.3,1
24.0,66.6,5.8,8.5,1002.8,0
21.5,72.4,23.2,5.2,1016.9,1
28.9,44.4,26.1,5.3,1000.5,0
25.6,69.3,8.8,3.6,1019.8,1
27.2,74.8,29.3,9.7,1000.9,0
23.4,81.6,23.6,3.0,1005.3,0
22.3,34.6,15.9,5.5,1019.5,1
29.1,55.9,24.4,9.5,1012.0,0
21.8,52.5,6.7,1.7,1018.0,0
22.1,76.5,16.7,8.9,1014.6,1
23.8,88.5,13.3,5.6,1006.9,0
26.5,39.9,18.0,0.1,1015.0,0
32.7,81.7,11.2,2.6,1008.2,0
27.8,40.6,24.0,3.4,1016.0,0
16.1,83.5,9.5,6.9,1010.3,0
22.6,57.5,8.6,2.8,1014.7,1
33.0,86.5,27.6,6.1,1008.5,0
32.7,78.0,22.2,7.9,1015.1,0
16.6,82.8,11.9,1.8,1007.5,0
19.3,32.2,7.6,3.3,1007.7,0
23.1,75.0,17.6,2.2,1009.9,0
21.1,41.8,21.8,0.7,1003.1,1
28.1,54.2,23.0,9.2,1006.0,0
15.8,85.3,10.4,2.1,1003.2,1
34.0,32.4,13.0,7.1,1008.2,0
19.4,70.6,5.7,7.6,1011.7,0
34.6,88.6,12.3,4.7,1019.3,0
34.6,82.9,7.2,6.3,1014.3,1
29.0,60.7,12.5,1.2,1013.3,0
30.4,51.0,19.0,4.4,1001.3,1
22.2,66.9,21.1,4.3,1018.1,0
20.7,69.6,6.1,5.4,1012.3,0
31.5,72.7,10.8,5.2,1017.7,1
18.2,62.2,12.7,8.1,1001.0,0
17.3,42.3,11.4,6.7,1010.1,0
21.8,87.7,12.5,9.8,1014.2,0
16.7,87.6,8.4,1.6,1000.1,0
24.3,49.8,5.7,3.7,1002.3,1
25.3,74.0,12.8,8.7,1002.0,1
24.2,58.8,13.9,3.0,1003.0,0
29.2,66.5,12.6,1.7,1008.0,0
22.8,73.9,26.6,0.7,1004.9,1
20.3,80.6,17.4,4.2,1007.2,1
28.1,86.1,22.0,9.0,1011.8,1
18.7,46.6,6.1,4.3,1010.9,1
34.0,75.7,7.2,6.1,1003.3,1
25.1,37.8,14.9,2.1,1012.9,0
17.8,66.0,10.9,5.7,1019.3,1
19.5,77.2,22.7,7.7,1002.6,0
32.4,59.9,8.9,5.8,1008.2,0
25.4,60.6,12.0,0.8,1015.3,0
33.8,82.8,8.2,8.7,1016.4,0
17.5,79.8,12.4,8.5,1017.7,0
33.5,35.6,25.4,9.1,1019.2,1
16.4,46.9,19.9,7.3,1003.0,0
21.4,44.4,18.1,6.2,1014.5,0
17.5,55.7,28.0,3.7,1000.7,1
24.9,40.4,10.6,4.1,1002.9,0
25.5,45.2,23.8,7.5,1004.3,0
25.8,76.5,11.0,1.6,1011.8,0
21.2,82.8,11.4,0.5,1002.4,1
17.5,61.1,16.8,3.7,1011.6,1
29.3,51.6,28.2,0.2,1001.2,0
16.0,84.4,16.3,9.2,1006.3,0
15.9,73.6,23.3,4.7,1003.3,0
33.3,43.1,21.1,1.1,1020.0,1
21.4,74.7,28.7,4.5,1002.1,0
23.6,49.1,14.5,9.0,1010.2,0
31.3,87.1,25.0,0.4,1001.1,0
20.6,76.9,28.4,3.4,1005.7,1
19.9,88.9,18.0,1.9,1002.3,1
24.1,65.5,23.0,2.1,1019.7,0
17.7,78.8,14.6,9.7,1002.7,0
17.9,56.5,19.8,9.1,1003.4,1
22.9,35.3,15.6,1.9,1004.7,0
15.9,84.8,18.3,4.4,1006.6,0
26.7,84.9,20.7,8.1,1013.8,0
21.0,76.2,6.5,6.7,1013.7,1
23.0,31.7,27.1,9.2,1014.8,1
18.4,62.5,13.2,6.8,1012.8,0
33.1,81.7,28.9,1.8,1017.2,0
19.7,68.2,22.3,0.7,1005.0,0
25.0,69.0,18.8,0.4,1016.7,0
29.3,60.6,21.0,3.9,1012.0,0
21.5,87.8,28.4,1.2,1019.9,0
15.8,87.5,28.0,0.1,1006.4,1
31.9,30.7,7.2,9.7,1011.2,0
27.6,32.7,20.8,2.4,1007.1,0
17.8,70.6,20.6,8.8,1009.0,0
17.3,70.8,29.7,5.2,1015.6,1
30.2,78.4,17.9,8.0,1003.8,1
27.7,57.0,18.4,8.3,1010.7,1
32.7,55.8,18.7,5.5,1002.5,1
20.4,76.4,14.4,9.5,1018.1,1
19.2,55.4,16.1,3.6,1017.8,1
31.1,77.7,27.7,4.4,1007.6,1
21.7,42.7,28.7,5.5,1008.0,0
29.8,63.7,20.3,2.8,1018.6,0
28.8,42.3,26.8,8.5,1002.1,0
30.9,60.1,8.5,7.4,1005.6,0
25.1,71.7,5.6,0.2,1019.5,0
21.8,77.4,13.5,1.3,1012.2,0
31.1,73.3,13.2,8.7,1016.6,0
16.2,86.3,17.3,8.0,1002.0,1
22.8,48.7,26.0,9.4,1012.6,0
16.7,48.3,19.0,9.6,1016.2,0
26.4,49.7,23.1,4.8,1000.9,0
23.5,77.2,24.2,2.4,1007.8,0
17.2,30.1,16.4,2.0,1015.9,0
32.6,83.9,8.9,3.7,1018.7,0
28.3,52.9,23.5,1.0,1009.1,0
19.4,47.3,23.5,3.8,1003.5,0
34.6,30.5,25.7,1.5,1015.9,0
30.7,81.7,15.6,8.9,1013.1,0
19.5,57.8,26.4,3.1,1013.3,1
27.0,45.7,17.7,7.0,1011.8,0
20.5,85.1,23.8,0.9,1004.1,0
22.1,75.3,9.2,4.5,1010.1,0
23.5,69.6,9.1,6.4,1018.4,0
30.7,84.5,21.0,6.8,1007.8,0
17.6,88.0,20.7,9.5,1002.5,0
18.7,86.7,8.6,8.5,1004.3,0
23.0,75.5,5.6,0.3,1015.3,1
34.6,85.7,14.8,4.6,1009.4,0
18.2,77.4,11.4,3.5,1018.4,0
31.6,60.6,21.2,9.1,1010.2,0
22.3,36.0,17.3,5.0,1002.4,0
25.8,89.9,16.3,0.5,1014.1,0
28.6,61.7,9.4,5.3,1015.6,1
15.5,51.6,25.3,8.6,1018.9,0
25.6,50.6,8.5,9.3,1007.5,0
20.5,54.9,18.8,3.6,1009.2,0
26.2,36.6,22.9,9.1,1005.4,0
21.6,31.1,19.5,8.6,1018.6,0
22.6,79.2,28.1,7.8,1013.4,1
31.3,72.8,23.0,9.1,1002.7,0
21.8,66.5,25.6,1.7,1015.2,0
21.6,66.5,27.7,7.3,1012.7,0
19.4,72.9,5.1,3.4,1013.7,0
21.3,47.3,7.6,2.7,1000.7,0
25.7,43.3,20.6,5.4,1016.3,1
16.9,59.9,21.7,4.5,1017.4,0
31.8,64.8,17.5,4.3,1009.5,0
33.8,82.9,27.1,6.6,1011.8,1
20.7,55.1,12.2,9.1,1001.4,0
23.4,84.4,21.2,2.2,1015.8,0
19.7,41.3,27.3,3.7,1008.9,1
19.0,41.8,26.9,7.7,1009.4,1
21.7,80.0,18.8,8.6,1002.5,0
17.3,81.3,10.3,1.9,1015.5,0
30.4,46.4,17.4,3.5,1017.3,0
21.1,34.6,7.3,4.0,1008.8,1
29.7,81.8,12.4,7.3,1011.8,1
15.6,44.2,22.5,9.6,1000.1,1
27.0,48.2,12.3,6.5,1015.6,0
27.7,59.7,26.5,6.4,1010.0,1
25.9,85.0,6.4,6.4,1009.2,1
16.1,75.5,21.6,2.3,1018.4,1
25.8,41.9,5.2,1.7,1002.2,0
32.7,71.0,6.5,5.3,1009.7,0
28.2,88.0,21.9,7.5,1000.1,0
29.6,52.6,27.1,8.8,1018.1,1
24.8,77.4,6.3,0.6,1001.7,1
23.9,67.6,26.3,0.2,1008.4,0
31.8,52.2,16.3,4.7,1005.3,1
16.9,78.5,20.4,6.1,1006.8,0
23.5,57.0,23.8,0.4,1001.2,1
30.5,73.6,29.1,0.9,1002.3,0
23.5,64.3,7.2,0.7,1009.1,0
18.3,45.5,5.7,3.3,1019.2,0
15.9,59.8,24.0,2.2,1019.1,0
20.8,35.5,11.6,1.1,1001.1,1
25.9,76.8,16.6,0.6,1006.3,0
33.5,87.5,23.3,4.2,1006.6,1
32.2,56.7,7.8,4.8,1019.8,0
31.4,77.1,21.0,5.0,1014.8,0
31.1,80.6,8.3,6.7,1019.7,0
23.0,86.0,18.8,6.7,1007.9,0
28.1,65.9,12.2,4.6,1004.2,1
26.7,67.8,6.3,5.7,1019.8,1
25.3,31.1,17.7,8.9,1005.4,0
28.6,52.2,8.6,1.0,1017.2,1
28.6,68.3,21.0,6.9,1016.9,1
16.7,52.9,16.7,0.1,1016.2,1
19.1,68.3,5.4,6.0,1017.7,0
15.8,63.2,9.0,9.2,1017.5,0
28.2,75.0,20.5,4.5,1001.3,0
18.5,76.4,6.3,4.4,1013.6,0
34.3,47.6,16.3,8.3,1001.7,1
18.9,71.0,5.2,2.1,1011.7,1
28.4,81.4,22.3,3.9,1000.3,1
26.3,57.6,29.7,6.6,1017.8,0
34.8,54.9,27.0,0.6,1019.7,0
26.8,30.0,27.5,3.4,1001.4,0
29.8,62.9,15.7,7.1,1001.2,1
31.1,76.4,8.6,5.8,1007.6,1
17.0,35.0,20.8,3.6,1007.5,1
22.4,89.9,16.7,9.1,1011.3,0
17.3,48.2,8.2,5.7,1005.3,0
34.2,74.3,8.0,2.6,1019.6,0
24.7,79.3,28.9,6.4,1018.9,0
20.5,68.1,21.0,5.4,1019.7,1
28.3,44.6,7.6,1.8,1002.3,0
33.7,30.3,24.8,6.9,1014.2,0
31.9,85.0,29.4,4.0,1011.3,0
31.1,80.4,22.3,2.3,1003.1,0
33.6,42.2,5.6,1.9,1008.7,0
25.0,32.4,8.5,1.1,1005.0,0
16.3,60.9,5.3,2.4,1004.1,0
28.0,50.3,19.3,3.5,1012.2,0
32.9,31.9,27.2,1.0,1016.7,0
30.8,38.6,8.2,4.6,1000.9,1
25.3,60.1,6.1,2.3,1015.8,0
19.0,70.0,21.7,0.1,1004.5,0
18.3,66.1,20.4,8.0,1005.3,0
27.5,68.3,28.7,3.0,1007.4,1
15.3,50.6,7.5,1.4,1014.3,0
28.3,51.1,25.2,9.8,1008.5,0
34.2,38.3,29.4,1.1,1017.3,1
19.9,85.1,18.6,9.1,1005.1,0
31.0,87.1,6.2,1.1,1000.2,0
29.1,74.7,10.1,2.4,1011.3,0
32.9,41.0,27.5,6.5,1016.6,1
18.7,61.5,17.4,2.8,1014.0,0
23.8,79.5,21.2,6.1,1013.2,1
23.8,61.7,11.8,7.8,1009.4,0
20.0,68.5,12.3,9.6,1018.2,1
15.7,57.4,21.4,1.7,1013.3,0
20.3,42.3,29.5,5.4,1015.1,0
17.7,54.8,6.0,2.0,1004.3,0
33.2,42.1,6.5,6.8,1013.6,0
33.0,81.9,21.7,3.1,1018.4,0
15.9,65.4,8.1,7.7,1019.9,1
33.6,32.6,24.0,5.3,1011.4,0
26.6,80.1,22.8,1.0,1011.0,0
15.7,32.9,6.9,0.6,1009.1,0
32.4,72.6,7.3,8.2,1009.1,1
20.2,45.5,27.7,8.2,1006.6,0
23.4,82.8,12.7,5.9,1016.6,1
16.6,83.8,21.7,6.0,1013.7,0
19.2,76.0,9.6,3.9,1003.6,0
31.3,77.9,16.6,3.7,1016.7,1
21.0,60.3,10.7,4.0,1009.7,0
21.8,61.4,25.3,0.1,1001.9,0
31.6,60.5,22.7,2.1,1006.6,0
15.7,56.8,11.8,5.2,1016.3,0
24.5,30.1,9.7,3.1,1018.2,0
24.7,41.1,26.0,4.5,1000.1,0
22.2,59.6,13.8,9.3,1002.8,1
33.7,58.0,8.7,0.7,1019.4,1
31.1,56.3,7.6,8.5,1002.1,1
26.9,33.2,8.5,4.6,1005.1,1
24.3,47.2,28.6,2.3,1006.3,1
26.3,66.6,22.3,5.9,1010.5,1
22.7,86.4,28.3,1.9,1017.3,0
17.7,84.7,20.0,2.0,1009.8,1
25.4,50.5,24.5,3.7,1011.8,1
17.7,52.9,25.7,0.7,1010.6,0
15.1,47.1,14.8,7.1,1019.3,0
23.1,47.0,11.0,9.2,1017.4,1
33.1,61.6,11.2,6.7,1008.0,1
24.7,61.9,24.2,6.7,1012.1,1
22.2,58.6,10.1,3.4,1015.8,0
23.3,47.0,23.5,2.4,1011.7,1
21.7,33.0,27.4,3.6,1000.8,1
20.0,55.5,15.2,7.2,1006.1,0
27.2,76.7,26.2,0.3,1015.6,1
34.0,34.1,24.2,9.6,1013.6,1
17.8,73.0,12.6,7.4,1007.4,0
25.6,43.2,21.1,3.9,1012.0,0
28.0,57.0,14.6,4.1,1004.3,1
26.4,70.3,8.0,7.8,1016.8,0
18.6,85.2,28.0,9.3,1010.9,0
27.7,81.5,15.3,3.6,1000.5,0
18.0,82.8,5.5,1.8,1005.6,0
17.6,87.8,8.4,8.1,1012.6,1
18.5,66.4,8.1,6.2,1005.6,0
26.5,47.1,20.2,0.0,1000.6,0
25.0,44.2,13.2,7.3,1003.6,1
26.4,62.0,27.1,7.4,1010.0,0
33.5,89.1,6.0,9.4,1014.6,0
27.7,83.6,7.7,4.0,1006.1,0
16.1,51.3,22.9,1.9,1005.9,1
34.3,48.4,21.7,0.4,1013.8,1
34.3,65.5,18.9,1.2,1002.8,0
31.8,31.8,21.4,1.5,1004.4,0
23.5,70.2,7.1,8.1,1012.4,0
24.7,37.8,11.1,7.4,1012.5,1
27.4,60.4,10.2,3.2,1017.8,1
29.7,36.3,6.2,3.4,1011.0,1
16.1,89.8,17.2,5.1,1009.1,0
26.9,73.4,6.8,0.2,1014.3,0
35.0,40.6,7.0,5.9,1017.8,0
33.7,46.2,25.2,1.7,1004.0,0
29.3,59.5,18.0,6.4,1013.3,0
29.5,84.6,16.1,0.9,1011.3,1
34.3,65.9,18.3,1.7,1017.1,0
26.3,69.8,15.4,1.2,1012.5,0
33.4,76.4,28.4,4.5,1012.2,0
22.4,31.3,12.6,9.6,1016.9,0
31.6,85.9,7.1,8.7,1012.1,0
26.1,72.4,27.5,7.5,1015.4,0
26.2,35.7,15.5,4.6,1019.3,0
17.7,35.4,21.5,7.1,1006.2,0
23.2,71.7,5.4,6.5,1011.4,1
32.6,48.5,23.9,0.1,1003.9,0
16.4,80.7,28.2,0.6,1009.8,0
21.3,78.4,25.7,3.0,1019.9,0
24.6,76.5,19.5,0.5,1017.7,1
18.9,35.1,26.4,1.1,1014.5,0
20.3,70.9,22.8,6.6,1010.4,0
30.9,45.2,15.8,3.3,1002.2,1
21.5,86.3,27.6,6.5,1003.0,0
15.1,45.3,20.4,5.6,1015.9,0
21.1,33.9,5.7,3.0,1007.8,1
27.5,78.0,7.7,9.7,1012.3,0
34.9,43.8,5.4,7.5,1007.0,0
27.4,51.4,9.2,4.2,1002.5,0
21.8,45.2,20.8,1.1,1016.1,0
24.4,65.2,11.7,3.1,1010.6,0
16.2,78.0,5.2,5.6,1003.2,0
33.6,30.5,28.0,2.1,1015.5,0
25.9,46.9,10.4,3.9,1011.9,1
18.2,31.7,9.4,2.4,1017.9,0
15.7,47.6,15.6,7.6,1002.3,1
25.1,33.6,28.0,2.1,1009.9,0
21.1,69.3,18.5,7.4,1019.0,1
18.2,33.4,19.3,2.0,1016.8,0
29.7,35.4,12.5,1.7,1018.2,1
25.7,35.1,11.8,6.9,1004.2,0
20.1,62.1,20.6,6.2,1015.5,0
28.4,31.7,7.6,8.8,1014.6,1
34.7,61.6,24.8,1.7,1000.4,1
22.4,41.4,22.9,9.4,1011.4,0
26.2,89.8,27.0,8.2,1008.2,1
33.0,76.5,8.7,4.9,1019.8,0
16.4,69.0,8.4,0.4,1002.2,1
28.5,74.2,18.5,0.2,1013.2,0
21.6,35.0,18.1,4.9,1009.4,0
17.6,31.7,24.3,2.1,1008.6,1
21.3,58.1,26.9,4.2,1010.3,0
33.3,39.7,19.0,1.0,1006.2,1
32.8,60.2,29.8,1.5,1019.1,0
28.9,51.2,26.5,8.0,1008.0,0
29.2,31.7,9.6,2.2,1019.5,0
17.0,51.1,6.8,5.1,1018.6,1
32.7,36.8,28.6,10.0,1002.1,0
23.2,50.4,20.1,0.3,1004.4,0
21.2,73.0,7.3,7.5,1016.6,0
34.0,33.1,25.5,3.6,1016.8,1
26.7,73.6,11.5,8.4,1000.7,1
34.5,52.1,28.7,9.7,1001.6,0
31.9,33.7,7.7,2.9,1012.8,0
27.4,79.2,9.7,5.9,1000.4,0
32.2,40.7,26.3,7.3,1007.3,0
17.8,44.6,14.2,5.3,1011.7,0
24.6,68.3,6.9,7.1,1005.4,0
15.4,39.8,15.4,1.1,1016.4,0
29.4,46.7,6.0,4.7,1002.5,0
24.1,34.2,12.5,8.5,1006.5,0
29.0,79.7,13.0,5.8,1018.5,0
28.8,88.7,17.1,3.7,1002.5,0
19.5,41.3,11.5,6.0,1012.8,0
34.8,81.3,25.0,7.2,1002.3,0
19.9,34.2,24.2,0.4,1014.5,0
33.4,73.0,27.9,9.4,1007.0,1
24.0,39.7,28.6,7.4,1018.6,0
34.4,70.4,25.1,0.8,1012.6,0
21.0,84.3,16.5,8.6,1012.8,1
20.1,62.5,13.3,9.4,1004.9,1
34.7,51.1,22.5,6.1,1015.0,0
28.3,79.2,7.2,3.3,1015.9,0
30.7,63.6,20.4,7.4,1013.3,0
35.0,82.2,8.5,4.3,1010.5,0
30.5,84.3,8.3,5.7,1003.1,0
23.9,54.2,21.0,6.0,1008.8,0
15.3,78.0,15.3,9.7,1017.0,0
33.6,41.6,16.4,2.9,1014.0,1
34.7,78.9,7.2,4.8,1009.3,0
23.7,75.5,16.7,6.9,1016.4,0
16.4,77.8,12.0,5.9,1002.6,0
33.2,63.6,21.2,2.8,1017.2,0
31.6,38.5,17.1,4.5,1013.2,0
30.5,43.2,22.2,7.7,1002.6,0
31.8,52.7,26.7,8.1,1012.7,1
19.8,69.9,22.7,7.0,1005.2,0
27.4,85.6,18.5,3.9,1017.2,0
19.9,32.7,17.5,8.4,1012.1,0
17.5,52.7,17.7,9.5,1017.7,0
26.5,34.1,15.5,4.5,1006.9,1
17.0,44.5,6.4,5.6,1014.5,1
18.7,48.0,17.1,0.0,1003.8,1
21.0,62.0,10.4,7.5,1004.2,0
23.5,39.0,10.9,1.1,1000.3,0
20.5,44.4,19.9,9.0,1001.8,1
22.1,51.2,6.5,3.0,1003.7,0
34.1,37.0,24.6,0.3,1001.2,0
30.4,76.2,21.4,7.0,1005.7,0
29.3,68.5,10.5,1.6,1012.8,0
21.7,68.2,16.4,5.1,1002.8,0
19.1,59.7,15.5,0.4,1017.3,1
29.6,60.1,10.5,9.2,1005.1,0
29.9,85.9,7.8,0.3,1002.5,1
32.8,71.0,23.9,6.2,1011.2,0
29.1,83.4,29.8,6.6,1012.2,1
21.1,88.0,28.2,7.6,1010.7,0
28.6,32.6,20.6,0.1,1007.2,1
29.0,66.0,17.1,0.8,1007.2,1
24.5,35.7,19.6,5.4,1000.2,0
15.5,82.8,20.9,7.3,1004.2,0
29.4,63.0,11.7,4.0,1019.4,0
32.2,66.8,27.7,6.3,1008.7,0
29.4,87.6,15.0,4.1,1014.7,1
30.2,53.1,23.3,6.2,1010.8,1
30.6,40.7,28.2,8.9,1016.0,0
19.8,64.0,27.2,8.4,1001.3,1
22.1,35.8,15.7,5.8,1012.0,0
26.0,62.3,13.4,2.2,1012.0,1
17.7,55.4,18.8,4.0,1016.9,0
17.1,55.2,17.8,9.8,1010.9,0
21.3,34.7,25.7,0.0,1017.6,0
30.5,69.4,20.5,0.7,1006.0,0
32.2,53.4,22.9,1.1,1005.3,0
16.4,88.6,19.4,9.7,1010.1,0
28.9,56.3,8.8,1.2,1009.2,0
17.0,49.5,22.8,1.4,1006.0,0
17.6,72.6,20.9,9.5,1016.1,1
31.2,60.5,17.5,4.7,1012.2,0
22.5,40.1,10.9,7.1,1003.0,0
15.1,58.6,25.6,8.8,1016.2,0
22.9,44.8,13.1,8.0,1006.0,0
26.8,35.6,19.8,7.9,1008.9,0
27.4,85.0,5.4,5.8,1013.5,0
17.6,37.5,23.3,8.9,1017.5,0
31.7,66.9,7.3,2.6,1005.5,0
34.5,32.9,15.1,6.5,1007.0,0
15.7,77.5,13.3,0.2,1015.8,0
31.5,84.9,10.6,1.1,1011.0,0
24.9,49.2,12.9,2.3,1017.4,1
34.7,52.2,20.8,2.0,1006.7,0
24.0,64.4,23.1,2.1,1017.5,0
