Name,Location,Duration,Destination,Class,Price ($),Distance (km),Aircraft Type
Air International,Chicago,5:40,Delhi,Business,577.2,5772,Boeing 787
Go First,Rome,4:50,Oslo,First,709.4,3547,Boeing 787
Air France,Barcelona,1:30,Dubai,Business,684.7,6847,Boeing 757
X-Express,Jakarta,4:10,Vienna,Economy,541.05,10821,Airbus A380
Go First,Hanoi,9:30,Amsterdam,Economy,114.3,2286,Boeing 737 MAX
Turkish Airlines,Nairobi,3:00,New York,First,754.8,3774,Airbus A220
Etihad Airways,Beijing,9:40,Paris,Economy,373.0,7460,Airbus A220
Airlines,London,10:10,Venice,Economy,419.3,8386,Bombardier CRJ
Japan Airlines,Jakarta,11:30,Barcelona,First,1654.8,8274,Embraer E190
Gulf Air,Ho Chi Minh City,7:10,Madrid,First,2285.8,11429,ATR 72
United Airlines,Texas,1:40,Amsterdam,Economy,317.5,6350,Airbus A321
Air India,Berlin,11:00,Mumbai,First,545.0,2725,Boeing 747
American Airlines,Paris,4:50,Paris,Business,339.0,3390,Airbus A350
X-Express,Berlin,8:00,Athens,Business,1354.5,13545,Boeing 787
Vistara,Lisbon,8:40,Venice,Business,83.3,833,Airbus A380
British Airways,Mumbai,11:30,Kuala Lumpur,Economy,663.75,13275,Boeing 737
X-Express,Doha,2:10,Dublin,Economy,545.4,10908,Boeing 767
Easy Jet,Seoul,6:10,Cairo,First,836.6,4183,Airbus A330
Lufthansa,Istanbul,7:20,Berlin,First,2749.2,13746,Boeing 737
Royal Jordanian,Shanghai,8:40,Miami,Business,174.1,1741,Airbus A330
Aeroflot,New York,9:10,Jakarta,Business,1204.3,12043,Boeing 737 MAX
Space Jet,Barcelona,10:00,Hong Kong,Business,1406.9,14069,Boeing 777
Emirates,Sydney,10:50,Prague,First,1265.2,6326,Airbus A330neo
Korean Air,Bangkok,1:50,Vienna,First,2495.8,12479,Airbus A319
Iberia Airlines,Ho Chi Minh City,6:10,Manila,Business,171.2,1712,McDonnell Douglas MD-11
Go First,London,2:30,Sao Paulo,First,2995.8,14979,ATR 72
X-Express,Rome,1:10,Miami,Economy,373.8,7476,Boeing 737 MAX
Air Asia,Edinburgh,6:50,Bangkok,Business,628.1,6281,Boeing 747
Delta Airlines,Doha,1:20,Johannesburg,Business,1348.7,13487,De Havilland Dash 8
French Bee,Johannesburg,12:50,Tokyo,First,1531.2,7656,Airbus A320
Etihad Airways,Kolkata,7:00,Paris,Economy,677.35,13547,Boeing 757
Southwest Airlines,Sydney,12:50,Sydney,Economy,676.4,13528,Airbus A320
Etihad Airways,Toronto,11:00,Ho Chi Minh City,Economy,47.35,947,Boeing 777X
Etihad Airways,New York,3:40,Toronto,First,264.0,1320,Airbus A330neo
Airlines,Sydney,2:30,Cape Town,Business,476.0,4760,Airbus A380
Alaska Airlines,Manila,7:40,Toronto,Economy,531.45,10629,Boeing 737 MAX
Go First,New York,4:00,St. Petersburg,Economy,564.8,11296,McDonnell Douglas MD-80
Aeroflot,Edinburgh,6:30,Johannesburg,Economy,41.5,830,Bombardier CRJ
Air Canada,Melbourne,10:30,Miami,First,2412.4,12062,Airbus A220
Vistara,Lisbon,8:20,Delhi,First,502.2,2511,Embraer E190
Alaska Airlines,Mumbai,1:30,Mumbai,Business,166.5,1665,McDonnell Douglas MD-80
Southwest Airlines,Brisbane,1:20,Budapest,First,2336.0,11680,De Havilland Dash 8
Alaska Airlines,Nairobi,3:00,Cape Town,Business,1187.9,11879,Bombardier CRJ
American Airlines,Bangkok,8:50,Madrid,Business,923.0,9230,Airbus A380
Asian Airlines,Jakarta,2:40,Paris,Economy,471.3,9426,Airbus A350
Vistara,Barcelona,1:20,Barcelona,Business,521.8,5218,Boeing 787-10
Vistara,Toronto,5:00,Beijing,First,1171.8,5859,Boeing 777X
Air Canada,Oslo,5:00,Sydney,Business,1256.8,12568,Boeing 777
Air France,Zurich,6:20,Amsterdam,Business,1489.3,14893,ATR 72
Easy Jet,Chicago,6:10,Mumbai,Business,900.4,9004,McDonnell Douglas MD-11
Etihad Airways,Delhi,2:10,Moscow,Economy,507.7,10154,Airbus A350
Asian Airlines,Moscow,7:40,Zurich,Business,189.8,1898,Boeing 737 MAX
Cathay Pacific,Oslo,4:50,Cairo,Economy,655.4,13108,Boeing 787-10
Qatar Airways,Vienna,12:10,Hong Kong,Business,714.9,7149,McDonnell Douglas MD-11
Japan Airlines,Chicago,4:20,Johannesburg,Business,1030.4,10304,McDonnell Douglas MD-11
Royal Jordanian,Buenos Aires,1:00,Mexico City,Business,452.8,4528,Bombardier CRJ
Korean Air,Dublin,2:00,Mumbai,Business,728.9,7289,Boeing 777
Turkish Airlines,Stockholm,1:20,Madrid,First,1215.6,6078,Boeing 737
Iberia Airlines,Athens,7:40,Manila,Business,272.0,2720,Boeing 777X
British Airways,Hong Kong,5:50,Dubai,First,2984.4,14922,Boeing 777
Delta Airlines,Sydney,8:20,Stockholm,Economy,104.1,2082,Boeing 757
Star Lines,Doha,4:10,Hanoi,First,2120.8,10604,Boeing 737 MAX
Air France,Seoul,7:30,Manila,Economy,145.1,2902,ATR 72
Aeroflot,Abu Dhabi,11:40,Berlin,Economy,61.95,1239,Boeing 757
Alaska Airlines,Nairobi,5:50,Lyon,First,2942.0,14710,Boeing 767
Thai Airways,Beijing,7:30,Venice,Business,847.7,8477,Boeing 777X
Southwest Airlines,Texas,3:10,Doha,Business,1381.6,13816,Airbus A220
Singapore Airlines,Dubai,1:40,Nairobi,Economy,583.0,11660,Boeing 747
Indigoo,Abu Dhabi,9:30,Reykjavik,Business,673.0,6730,McDonnell Douglas MD-80
Go First,Toronto,3:00,Berlin,Business,886.8,8868,Boeing 787
Swiss International Air Lines,Dublin,6:30,Buenos Aires,Business,657.8,6578,Boeing 787-10
Singapore Airlines,Nairobi,7:10,Munich,First,2455.2,12276,Airbus A380
Air International,Stockholm,3:00,Singapore,First,1830.4,9152,Boeing 777
Vistara,Paris,8:50,Munich,Business,386.6,3866,Airbus A330
Air Canada,Abu Dhabi,1:50,Cairo,Business,423.8,4238,Airbus A330
Thai Airways,Melbourne,6:00,Sydney,Economy,66.3,1326,Boeing 737 MAX
Iberia Airlines,Nairobi,11:00,Tokyo,First,2494.4,12472,Boeing 757
Qantas,Sao Paulo,10:00,Dubai,Economy,135.4,2708,Boeing 777X
Southwest Airlines,Berlin,6:00,Amsterdam,Economy,535.3,10706,Airbus A220
Star Lines,Stockholm,6:00,Nairobi,First,1453.6,7268,Airbus A319
Japan Airlines,Delhi,6:50,Helsinki,First,1464.0,7320,Bombardier CRJ
Emirates,Moscow,1:50,Buenos Aires,Business,1285.6,12856,Boeing 747
Alaska Airlines,Barcelona,5:40,Amsterdam,Business,483.5,4835,Airbus A320
Easy Jet,Johannesburg,5:00,Munich,Economy,391.6,7832,Boeing 747
Delta Airlines,Toronto,9:40,Barcelona,Economy,271.6,5432,Boeing 737
Air France,Istanbul,5:20,Beijing,Economy,33.65,673,Airbus A320
United Airlines,Manila,4:20,San Francisco,First,2023.6,10118,Airbus A380
Air India,Beijing,4:40,Ho Chi Minh City,Economy,637.75,12755,Boeing 787
Air India,Berlin,8:10,Kuala Lumpur,First,2283.8,11419,Embraer E190
Air France,Rome,10:00,Dubai,Economy,704.75,14095,Airbus A321
Air India,Sao Paulo,4:00,Prague,Business,745.3,7453,Airbus A350
Lufthansa,Copenhagen,3:40,Budapest,Economy,115.4,2308,De Havilland Dash 8
Thai Airways,Paris,2:10,Paris,Economy,649.8,12996,Airbus A330
Turkish Airlines,Copenhagen,1:00,Barcelona,Business,299.7,2997,Boeing 747
Malaysia Airlines,Lisbon,5:50,Los Angeles,Business,581.3,5813,Boeing 787
Vistara,Edinburgh,9:20,Dubai,Business,424.7,4247,Airbus A350
Qantas,Singapore,9:20,Hong Kong,First,2617.8,13089,Airbus A220
Star Lines,Zurich,12:30,Barcelona,Business,636.8,6368,Airbus A321
Aeroflot,Hong Kong,8:50,Stockholm,Economy,388.85,7777,Bombardier CRJ
Space Jet,Manchester,4:30,Buenos Aires,Business,1468.3,14683,Airbus A380
Southwest Airlines,Tokyo,5:30,Stockholm,Economy,686.2,13724,Boeing 777
British Airways,Dublin,7:20,Toronto,First,1878.0,9390,Bombardier CRJ
Swiss International Air Lines,Chennai,12:40,Tokyo,Business,704.1,7041,Airbus A330
Southwest Airlines,Delhi,6:00,Mumbai,First,2440.4,12202,Boeing 787
Aeroflot,Shanghai,12:10,San Francisco,First,259.8,1299,McDonnell Douglas MD-11
Swiss International Air Lines,Ho Chi Minh City,5:30,Sydney,First,2162.4,10812,Bombardier CRJ
Turkish Airlines,Oslo,9:10,Rome,First,2718.4,13592,Airbus A319
British Airways,Jakarta,1:40,San Francisco,Economy,550.8,11016,Boeing 767
Qatar Airways,Chennai,5:00,Delhi,Economy,132.3,2646,Airbus A380
Swiss International Air Lines,New York,1:20,Rome,Business,1092.0,10920,Bombardier CRJ
American Airlines,Kolkata,12:40,Beijing,Economy,31.05,621,McDonnell Douglas MD-11
Delta Airlines,Sao Paulo,4:20,Chicago,First,1667.6,8338,Airbus A220
Korean Air,Amsterdam,2:00,Helsinki,First,2071.2,10356,ATR 72
Gulf Air,Vienna,7:40,Madrid,First,302.8,1514,Embraer E190
Aeroflot,Shanghai,12:20,Jakarta,Economy,61.95,1239,Airbus A350
Air Asia,Madrid,2:00,Johannesburg,Economy,266.15,5323,Boeing 787-10
Alaska Airlines,Stockholm,5:10,Sydney,Business,692.6,6926,Boeing 757
Royal Jordanian,Los Angeles,11:10,Paris,First,1245.2,6226,Boeing 737 MAX
Air International,Istanbul,3:40,Budapest,First,2213.8,11069,Airbus A321
Star Lines,Sydney,4:40,Venice,First,2650.0,13250,Boeing 737
Space Jet,Tokyo,4:00,Vancouver,Business,1345.6,13456,Airbus A380
Space Jet,Zurich,11:10,Reykjavik,Economy,121.7,2434,Airbus A380
Royal Jordanian,Shanghai,11:00,Munich,First,2058.4,10292,Boeing 777
Singapore Airlines,Melbourne,12:20,Venice,First,1502.4,7512,Airbus A319
LATAM Airlines,Dublin,10:10,Mexico City,Business,404.6,4046,Airbus A320
Alaska Airlines,Johannesburg,11:40,St. Petersburg,Economy,695.85,13917,McDonnell Douglas MD-11
Japan Airlines,Sydney,4:10,Nairobi,First,779.0,3895,Boeing 787
Qantas,Los Angeles,5:30,Zurich,Economy,499.2,9984,Bombardier CRJ
Virgin Atlantic,Lisbon,3:30,Cape Town,Economy,27.65,553,Bombardier CRJ
Virgin Atlantic,Lisbon,9:00,Doha,Economy,736.7,14734,Airbus A321
Lufthansa,Texas,3:30,Dublin,Business,1085.8,10858,Airbus A220
Swiss International Air Lines,Ho Chi Minh City,1:40,Brussels,Business,1068.2,10682,Boeing 787
Gulf Air,Chicago,12:00,Milan,Business,616.9,6169,Boeing 757
Singapore Airlines,Beijing,2:40,Milan,First,1984.4,9922,Airbus A330
Vistara,Paris,6:50,San Francisco,First,2961.6,14808,Boeing 787
Cathay Pacific,Shanghai,4:10,Budapest,Business,555.0,5550,Airbus A330
Air France,Mexico City,7:40,Moscow,Economy,360.55,7211,Airbus A350
Air Asia,Beijing,8:10,Dublin,First,1010.0,5050,ATR 72
Lufthansa,Sydney,2:20,Doha,Business,1457.5,14575,Boeing 787
Air France,Buenos Aires,11:30,Istanbul,First,1345.2,6726,Boeing 767
Go First,Paris,6:20,Budapest,Business,308.8,3088,Airbus A380
American Airlines,Texas,7:20,Hong Kong,Business,1139.7,11397,Embraer E190
Emirates,Moscow,8:40,Toronto,Business,155.7,1557,Boeing 767
Swiss International Air Lines,Madrid,12:10,Tokyo,Economy,694.25,13885,De Havilland Dash 8
United Airlines,Hanoi,1:10,Abu Dhabi,Business,1157.9,11579,Airbus A380
Qantas,Cairo,3:00,Rio de Janeiro,Economy,148.5,2970,Boeing 747
Go First,Nairobi,1:00,Zurich,Economy,654.7,13094,Airbus A320
Korean Air,Edinburgh,2:30,Paris,Economy,56.4,1128,Airbus A330neo
Thai Airways,Mumbai,8:40,Moscow,Economy,180.7,3614,McDonnell Douglas MD-11
Vistara,New York,5:20,Cape Town,Economy,342.4,6848,Boeing 767
Thai Airways,Zurich,11:50,Mexico City,First,2668.8,13344,Airbus A319
LATAM Airlines,Edinburgh,1:30,St. Petersburg,Business,628.6,6286,Boeing 787-10
Lufthansa,Abu Dhabi,3:50,Jakarta,First,2174.2,10871,Airbus A330
Turkish Airlines,Lisbon,10:40,Milan,Business,1412.1,14121,Boeing 787-10
Air Canada,Kuala Lumpur,4:30,Lyon,Business,521.6,5216,Airbus A330
Delta Airlines,Mexico City,1:50,Milan,Business,171.2,1712,ATR 72
Thai Airways,Paris,4:50,Beijing,First,2886.2,14431,McDonnell Douglas MD-80
X-Express,New York,4:10,Manila,Economy,70.75,1415,Embraer E190
French Bee,Hong Kong,12:10,Helsinki,First,2236.6,11183,Airbus A380
SAS Scandinavian Airlines,Toronto,3:10,Hong Kong,Economy,634.55,12691,McDonnell Douglas MD-80
Virgin Atlantic,Ho Chi Minh City,2:00,Beijing,First,2600.2,13001,Airbus A330
British Airways,Ho Chi Minh City,10:10,Milan,Business,840.1,8401,Boeing 787-10
Qatar Airways,Abu Dhabi,3:30,Johannesburg,Economy,129.9,2598,Embraer E190
American Airlines,Dublin,1:50,Stockholm,First,1043.4,5217,Boeing 737 MAX
Cathay Pacific,Copenhagen,3:10,Johannesburg,Business,492.0,4920,Airbus A220
Gulf Air,Nairobi,8:00,Oslo,Economy,107.45,2149,McDonnell Douglas MD-80
Air Canada,Athens,9:10,Moscow,Business,230.6,2306,Airbus A330neo
Swiss International Air Lines,Kuala Lumpur,5:30,Munich,First,1831.6,9158,Airbus A320
Gulf Air,Chennai,4:40,Moscow,Economy,440.5,8810,Boeing 787-10
Lufthansa,Jakarta,10:50,Vienna,Business,570.9,5709,Boeing 767
Air Canada,Seoul,5:10,Jakarta,First,136.0,680,Boeing 737 MAX
American Airlines,Edinburgh,6:00,Rio de Janeiro,Business,545.8,5458,Airbus A220
American Airlines,Oslo,5:40,Athens,First,2884.6,14423,Boeing 737
Malaysia Airlines,Lisbon,1:40,Lyon,Business,491.9,4919,Airbus A220
Gulf Air,Moscow,11:20,Helsinki,First,801.8,4009,Boeing 737
Virgin Atlantic,Rome,7:20,Geneva,Business,189.1,1891,ATR 72
Go First,Mexico City,1:40,Manchester,Economy,157.7,3154,Boeing 787
Aeroflot,Nairobi,11:40,Bangkok,Business,454.4,4544,Airbus A330neo
Delta Airlines,Hong Kong,9:50,Tokyo,Economy,45.4,908,McDonnell Douglas MD-11
X-Express,Bangkok,2:50,Hong Kong,First,2315.6,11578,ATR 72
Iberia Airlines,Berlin,12:10,Toronto,First,1310.2,6551,Boeing 777X
United Airlines,Lisbon,7:00,Budapest,First,1571.8,7859,Boeing 737
Cathay Pacific,Barcelona,7:40,Sydney,Business,1474.9,14749,Boeing 737
Air Canada,Johannesburg,10:40,Dublin,First,757.0,3785,ATR 72
Turkish Airlines,Oslo,2:50,Madrid,Economy,293.35,5867,Bombardier CRJ
X-Express,Madrid,11:10,Dhaka,Economy,498.15,9963,McDonnell Douglas MD-11
Airlines,Manchester,10:50,Barcelona,First,813.8,4069,Boeing 777X
Delta Airlines,Beijing,11:00,Reykjavik,Business,182.8,1828,Airbus A220
Indigoo,Buenos Aires,9:40,Cape Town,First,2838.4,14192,Boeing 767
Vistara,Paris,8:30,Hong Kong,Business,1167.0,11670,Boeing 737
Cathay Pacific,Sao Paulo,3:50,Hanoi,First,1475.4,7377,Airbus A350
Thai Airways,Berlin,5:10,Doha,Business,1039.0,10390,Boeing 777
Cathay Pacific,Kolkata,5:50,Vienna,First,2688.0,13440,Embraer E190
French Bee,Zurich,10:10,Los Angeles,Economy,705.5,14110,Boeing 777X
Qatar Airways,Jakarta,3:20,Warsaw,Economy,487.25,9745,Boeing 757
Asian Airlines,Beijing,11:00,Israel,Economy,366.1,7322,Boeing 757
Delta Airlines,Johannesburg,4:30,Doha,First,755.8,3779,Airbus A330
Etihad Airways,Mumbai,11:30,Istanbul,Business,604.9,6049,Boeing 767
Qatar Airways,Buenos Aires,5:00,Manchester,Economy,659.65,13193,Boeing 787
Lufthansa,Athens,9:40,Dubai,Business,278.3,2783,Airbus A319
Lufthansa,Shanghai,4:10,Tokyo,Business,400.6,4006,Boeing 787
Singapore Airlines,Sydney,1:00,Toronto,Business,158.6,1586,Boeing 787-10
Etihad Airways,Sao Paulo,2:40,Kuala Lumpur,First,2536.2,12681,McDonnell Douglas MD-80
Korean Air,Toronto,1:50,Cairo,Economy,144.9,2898,Airbus A321
Virgin Atlantic,Doha,8:20,Helsinki,First,1439.6,7198,Airbus A220
Malaysia Airlines,Los Angeles,4:20,Brussels,First,2097.2,10486,Airbus A319
Easy Jet,Chicago,9:10,Chicago,Business,636.7,6367,McDonnell Douglas MD-80
Swiss International Air Lines,Mumbai,10:10,Sydney,Business,125.3,1253,Airbus A330
Etihad Airways,New York,10:00,Abu Dhabi,Business,1027.2,10272,Boeing 787-10
Space Jet,Berlin,3:50,Milan,First,1224.4,6122,De Havilland Dash 8
X-Express,Beijing,5:20,Delhi,First,1900.4,9502,McDonnell Douglas MD-11
United Airlines,Beijing,4:30,Sydney,Business,1445.9,14459,Boeing 777
Cathay Pacific,Vienna,1:50,Rio de Janeiro,First,2124.6,10623,McDonnell Douglas MD-11
X-Express,Hanoi,1:40,Geneva,First,1859.6,9298,McDonnell Douglas MD-11
Air Asia,Istanbul,12:40,Beijing,Economy,60.05,1201,De Havilland Dash 8
Singapore Airlines,Doha,2:40,Amsterdam,First,1183.0,5915,Airbus A330
Air Canada,Paris,3:20,Moscow,First,2229.4,11147,Boeing 747
Lufthansa,Toronto,12:10,Helsinki,Business,673.3,6733,Airbus A320
Turkish Airlines,Cairo,8:40,Reykjavik,First,1348.4,6742,Bombardier CRJ
Korean Air,Edinburgh,8:40,Budapest,Economy,347.1,6942,Embraer E190
Alaska Airlines,Chicago,6:10,Reykjavik,First,136.8,684,Boeing 767
American Airlines,Chennai,6:00,Beijing,First,2474.8,12374,Embraer E190
Space Jet,Stockholm,1:00,Cape Town,Economy,44.45,889,Airbus A321
Swiss International Air Lines,Johannesburg,3:20,Rio de Janeiro,Business,1424.9,14249,Airbus A380
LATAM Airlines,Hanoi,2:20,Barcelona,Economy,141.3,2826,Airbus A330
Virgin Atlantic,Hong Kong,6:00,Vienna,First,1945.2,9726,Airbus A320
Air Canada,Beijing,8:00,Mumbai,First,579.2,2896,Bombardier CRJ
Gulf Air,Dubai,8:00,San Francisco,Economy,455.8,9116,McDonnell Douglas MD-11
Emirates,Shanghai,12:00,Munich,Economy,705.15,14103,McDonnell Douglas MD-80
French Bee,Bangkok,8:40,Beijing,Business,1024.2,10242,Embraer E190
Easy Jet,Lisbon,5:50,Johannesburg,First,1778.6,8893,Airbus A330
Turkish Airlines,Chicago,3:30,Barcelona,Business,552.7,5527,McDonnell Douglas MD-11
Alaska Airlines,Singapore,2:20,Ho Chi Minh City,Business,1402.7,14027,Airbus A330
Indigoo,Madrid,9:50,Miami,Economy,429.5,8590,ATR 72
Southwest Airlines,Johannesburg,12:50,Manchester,Economy,167.15,3343,McDonnell Douglas MD-11
Southwest Airlines,Manila,2:40,Dubai,Business,1020.5,10205,Boeing 777
Gulf Air,Stockholm,12:30,Singapore,First,2181.8,10909,Airbus A220
Air India,Shanghai,9:50,Prague,Economy,438.2,8764,ATR 72
Qantas,Doha,4:40,Oslo,Business,1377.6,13776,Boeing 767
Delta Airlines,Amsterdam,10:20,Zurich,First,1986.2,9931,Boeing 787-10
Virgin Atlantic,Mumbai,11:50,Helsinki,First,1254.0,6270,Airbus A220
American Airlines,Ho Chi Minh City,2:10,Barcelona,Economy,736.05,14721,Embraer E190
Swiss International Air Lines,Seoul,8:40,Toronto,Business,619.1,6191,Boeing 737 MAX
Vistara,Vienna,8:30,San Francisco,First,1049.2,5246,Boeing 787
Gulf Air,Kolkata,11:20,Cairo,First,485.2,2426,Boeing 737 MAX
Aeroflot,Amsterdam,6:40,Manchester,First,350.8,1754,Airbus A330
Gulf Air,Texas,12:10,Miami,First,482.4,2412,Boeing 787-10
Royal Jordanian,Istanbul,12:30,Stockholm,Business,274.9,2749,McDonnell Douglas MD-11
Delta Airlines,Kuala Lumpur,10:40,Helsinki,Economy,619.9,12398,Boeing 737
Indigoo,Edinburgh,11:00,Doha,Economy,476.7,9534,Embraer E190
Etihad Airways,Ho Chi Minh City,6:10,St. Petersburg,First,530.8,2654,Boeing 737 MAX
Cathay Pacific,New York,10:40,New York,Business,1094.1,10941,Airbus A220
Iberia Airlines,Dubai,4:00,Beijing,First,1666.8,8334,Boeing 767
Alaska Airlines,Shanghai,11:20,Delhi,Business,357.6,3576,McDonnell Douglas MD-11
Qantas,Edinburgh,11:10,Sao Paulo,Business,63.3,633,Airbus A319
United Airlines,New York,6:10,Buenos Aires,First,802.4,4012,Boeing 737
X-Express,Chennai,7:10,Warsaw,First,372.4,1862,Airbus A320
Etihad Airways,Stockholm,12:20,Brussels,First,488.0,2440,ATR 72
Lufthansa,Hanoi,3:40,Moscow,First,2705.2,13526,McDonnell Douglas MD-80
Cathay Pacific,Oslo,8:20,Barcelona,First,2843.2,14216,Boeing 777
Lufthansa,Sydney,12:40,Helsinki,Business,426.6,4266,Airbus A320
Air France,London,11:30,New York,Business,1230.1,12301,De Havilland Dash 8
Aeroflot,Texas,3:10,Sao Paulo,Economy,371.45,7429,Boeing 777X
Delta Airlines,Hong Kong,3:50,Dublin,Business,895.9,8959,Boeing 777X
Swiss International Air Lines,Istanbul,12:20,Budapest,Business,498.8,4988,ATR 72
Delta Airlines,Buenos Aires,4:50,Singapore,Business,949.1,9491,Embraer E190
Swiss International Air Lines,Moscow,7:10,Sao Paulo,First,257.6,1288,Boeing 737
Korean Air,Mumbai,11:40,Los Angeles,Business,372.6,3726,Bombardier CRJ
Vistara,Lisbon,5:10,Budapest,Business,1445.0,14450,Airbus A330
Star Lines,Mumbai,9:30,Barcelona,Business,432.9,4329,Airbus A350
Etihad Airways,Texas,12:00,New York,Business,235.3,2353,De Havilland Dash 8
Korean Air,London,8:50,Beijing,Business,162.5,1625,Boeing 747
United Airlines,Barcelona,6:30,Reykjavik,First,2117.0,10585,Embraer E190
United Airlines,Texas,11:40,Venice,First,1030.2,5151,McDonnell Douglas MD-11
Air France,Hong Kong,9:20,Mexico City,First,564.0,2820,Boeing 747
Vistara,Dubai,12:50,Istanbul,Economy,311.15,6223,Boeing 747
Go First,Delhi,7:50,Dhaka,First,1057.8,5289,Airbus A330
Go First,Sao Paulo,8:20,Beijing,Business,738.4,7384,Boeing 757
Royal Jordanian,Buenos Aires,1:10,Doha,Economy,418.1,8362,Boeing 777
