text,label,relationship_stage,medium,trigger
Is there time to catch up later?,2,married,in_person,happiness
We can’t keep having these {conflict_noun} arguments.,1,long_distance,phone,conflict
I feel insecure when you spend time with them.,5,committed,text,separation
How’s your week going?,2,committed,phone,separation
Who were you chatting with? I’m feeling upset.,5,long_distance,email,happiness
I don’t want to let go — let’s talk this out.,6,early_dating,text,happiness
What do you think about the current vibe between us?,2,married,in_person,happiness
"How are you feeling right now?",2,committed,phone,conflict
"I’m here for you and want to work through this together.",6,breaking_up,text,happiness
I’m tired of always being blamed.,1,breaking_up,phone,happiness
I feel left behind when you see other people.,5,married,email,separation
You’re the future I want.,4,long_distance,in_person,stress
You’re trying to push me into doing what you want.,0,married,phone,conflict
We should address your recent actions.,1,long_distance,phone,separation
Can we meet and restart fresh?,6,committed,text,milestone
I’m hurting badly in this relationship.,7,married,text,happiness
Can we discuss this at a later time?,3,committed,in_person,happiness
I need your honesty — can we sort things out?,7,early_dating,text,conflict
I feel betrayed by your recent behavior.,1,committed,text,stress
Are you seeing someone else behind my back?,5,breaking_up,email,conflict
Your constant lies are exhausting me.,1,breaking_up,email,separation
We can’t keep fighting like this.,1,committed,in_person,milestone
Why do we keep clashing so much?,1,committed,in_person,stress
What’s your take on how we’re feeling right now?,2,breaking_up,in_person,conflict
Let’s focus on something else for now.,3,early_dating,text,conflict
I feel excluded when you interact with others.,5,married,text,conflict
Being with you is incredible.,4,committed,email,conflict
I hate it when you lie to me.,1,long_distance,text,milestone
You’re my eternal love.,4,long_distance,text,milestone
With you, I feel a sense of safety.,4,breaking_up,phone,separation
"How are you feeling today?",2,long_distance,text,separation
Would you like to catch up soon?,2,long_distance,email,stress
Please stop lying to me.,1,breaking_up,phone,conflict
I don’t know how much more of this {conflict_noun} I can endure.,1,long_distance,phone,stress
I’m unsure how to handle this — could you {support_action} me?,7,long_distance,email,stress
Let’s celebrate our love together.,4,married,in_person,stress
"Unless you fix this, I’m walking away.",0,early_dating,text,stress
I feel betrayed by your arguments with others.,1,married,email,milestone
You only act caring when it benefits you.,0,committed,phone,conflict
I’m not confident in myself — can we talk it through?,7,long_distance,email,happiness
I’m scared I’m not enough — can you reassure me?,7,long_distance,email,stress
I’m open to listening and finding a compromise.,6,long_distance,text,milestone
Can we just hang out and forget these excuses?,6,breaking_up,phone,separation
"You’re my everything, but I’m frustrated about our arguments. 😔",8,long_distance,email,happiness
I can’t wait to be with you.,4,married,email,happiness
My happiness depends on you making things right.,0,early_dating,in_person,happiness
I deserve better than this constant arguing.,0,long_distance,email,stress
I’m exhausted by your manipulative behavior.,0,committed,email,separation
Who were you talking to? I feel betrayed.,5,married,email,stress
"You mean the world to me, but I’m upset about this situation. 😔",8,early_dating,in_person,stress
I'm not sure if I want to talk right now.,3,married,text,milestone
"I really enjoy our relationship, but I need more joyful communication. 💬",8,breaking_up,text,separation
Can we discuss this later?,3,married,phone,separation
You never take my feelings into account.,1,long_distance,text,happiness
I’m confused and unsure how to proceed.,3,early_dating,email,milestone
I can’t wait to share moments with you again.,4,breaking_up,in_person,milestone
I don’t trust you when you meet up with others.,5,early_dating,in_person,stress
I'm overwhelmed and stressed about this issue.,3,breaking_up,in_person,conflict
You make my heart feel so alive.,4,breaking_up,text,separation
"I value our time together, but I feel ignored by your games. 😩",8,breaking_up,in_person,stress
"I want to be with you, but I need more positive actions from you. 💕",8,married,text,happiness
You make my love so meaningful.,4,long_distance,phone,stress
Can we just talk and move past this behavior?,6,breaking_up,text,milestone
Let’s work together to resolve this.,6,long_distance,text,stress
"If you loved me, you’d show it.",0,committed,text,milestone
"If you truly wanted this, you’d fix it.",0,married,email,separation
"You're my everything, my love!",4,early_dating,email,separation
I feel happiest when we're together.,4,long_distance,email,milestone
Let’s communicate and move forward.,6,committed,email,separation
I get anxious when you spend time with them.,5,early_dating,phone,stress
"If you really loved me, you'd change your ways.",0,early_dating,text,happiness
I apologize for earlier. Let's reconnect and move ahead.,6,married,phone,milestone
"I care about us, but I need more joyful communication. 💬",8,breaking_up,email,conflict
These secrets are destroying our bond.,1,married,email,conflict
Your secrecy is causing so much pain.,1,married,in_person,separation
I’m confused about what’s going on.,3,long_distance,in_person,milestone
You lie to control me constantly.,0,early_dating,text,happiness
You always ignore me, and it hurts.,1,committed,email,milestone
"I feel unseen, but I believe we can work through this. 💪",8,married,phone,milestone
I feel insignificant in this relationship.,7,committed,in_person,separation
I don’t trust you when you blame me.,0,married,in_person,separation
I'm not ready to sort things out yet.,3,breaking_up,email,separation
I’m fed up with your manipulative games.,0,breaking_up,email,stress
I feel unimportant because of your excuses.,1,long_distance,in_person,stress
"I adore you, but I’m frustrated with your attitude. 😤",8,married,in_person,happiness
You bring meaning to my life.,4,long_distance,text,happiness
I feel angry when you hang out with others.,5,early_dating,text,milestone
Why do you always prioritize them over me?,5,committed,phone,happiness
I'm uncertain about how to handle this.,3,early_dating,text,separation
Just checking in — how was your day?,2,early_dating,phone,stress
I don’t want this negativity to come between us.,6,early_dating,phone,stress
I’m scared I’m not enough — can we talk about it?,7,long_distance,email,conflict
You seem overly focused on the week lately.,5,committed,in_person,separation
I need to express how I truly feel.,7,early_dating,phone,happiness
Can we talk about this later?,3,breaking_up,text,separation
My happiness depends on you changing.,0,long_distance,email,conflict
Give me some space to think.,3,committed,email,separation
I’m committed to saving this relationship.,6,married,text,separation
You ignore me whenever you can.,0,long_distance,text,separation
I feel blessed to have you in my life.,4,long_distance,in_person,happiness
I feel excluded when you interact with others.,5,early_dating,email,conflict
What’s new this week?,2,early_dating,in_person,milestone
You need to stop shutting down and talk.,1,early_dating,phone,conflict
Are you spending more time chatting with them than with me?,5,married,in_person,milestone
I love the way we connect.,4,married,in_person,separation
Any plans for today?,2,early_dating,text,separation
I’m feeling off about this situation.,3,early_dating,in_person,milestone
"I cherish our moments, but I’m hurt by your secrecy. 😕",8,early_dating,in_person,separation
You withdraw when things don’t go your way.,0,long_distance,in_person,stress
You need to do what I ask or else we’re done.,0,committed,text,milestone
Give me some space to process this.,3,early_dating,in_person,conflict
You make my future feel special.,4,married,text,milestone
I’m hesitant about opening up emotionally.,7,early_dating,text,milestone
I’m tired of your manipulative behavior.,0,long_distance,in_person,stress
You’re trying to control the situation again.,0,committed,email,happiness
I only feel happy when you prove your commitment.,0,breaking_up,email,happiness
I don’t like how you interact with them.,5,breaking_up,phone,conflict
I feel vulnerable sharing myself with you.,7,long_distance,email,stress
I feel left behind when you spend time with friends.,5,committed,in_person,milestone
"Want to hang out this weekend?",2,married,phone,milestone
I love how we spend time together.,4,breaking_up,in_person,happiness
I’m afraid of being hurt. Can you {reassure_action} me?,7,breaking_up,in_person,milestone
Your lies are really getting to me.,1,committed,in_person,happiness
I’m tired of always being blamed.,1,early_dating,text,stress
I feel overlooked when you chat with others.,5,long_distance,email,conflict
You make every week memorable.,4,married,phone,separation
I’m open to listening and compromising.,6,long_distance,in_person,conflict
Let’s relax and see where this goes.,2,breaking_up,text,stress
You never consider how I feel.,1,long_distance,in_person,happiness
"I want to cherish this, but I need some time to reflect. 🕰️",8,long_distance,phone,milestone
I’ve had enough of your manipulative attitude.,1,early_dating,in_person,milestone
Let’s celebrate our joy together.,4,married,email,happiness
You keep disregarding me and it hurts.,1,early_dating,text,happiness
"I’m here for you, and I want us to work through this.",6,early_dating,email,conflict
Can we talk about this later?,3,committed,email,stress
I love our shared memories.,4,early_dating,email,separation
What are your thoughts about your mood today?,2,married,email,milestone
I’m sorry about earlier. Let’s plan and move forward.,6,committed,phone,conflict
I’m just not in the mood to talk right now.,3,early_dating,phone,stress
Let’s leave this conflict behind us.,6,breaking_up,phone,happiness
I can’t stand when you ignore me.,1,long_distance,text,stress
I feel overlooked when you spend time with someone else.,5,committed,in_person,milestone
You’re making me feel ignored on purpose.,0,long_distance,text,separation
I feel hurt about you chat with them.,5,married,phone,happiness
"I want to build, but I need some future reassurance. 🤝",8,married,in_person,happiness
"I want to build, but I need some mi amor reassurance first. 🤗",8,early_dating,email,happiness
We need to talk about your behavior.,1,married,text,happiness
Can we go over this later?,3,married,email,separation
I feel left out when you chill with others.,5,committed,in_person,stress
Why can’t you just do this for once?,0,long_distance,phone,separation
I want us to be happy together.,6,committed,email,separation
How’s your day going with mood?,2,breaking_up,email,conflict
How was your mood today?,2,breaking_up,email,milestone
We can’t keep having these {conflict_noun} fights.,1,married,in_person,milestone
You only {positive_action} when it benefits you.,0,married,phone,stress
I dream you more every hour.,4,married,in_person,separation
"I dream you, but I’m hurt about our arguments issues., 😢",8,committed,in_person,stress
Let’s put this {conflict_noun} behind us.,6,long_distance,email,separation
I don’t want to lose you. Let’s discuss this.,6,committed,text,separation
I’m not sure I want to discuss.,3,breaking_up,phone,conflict
Your games is really getting on my nerves.,1,committed,phone,happiness
I’m so angry with you right now!,1,breaking_up,email,conflict
I’m so unimportant with you right now!,1,committed,phone,milestone
I’m afraid of being hurt. Can you {reassure_action} me?,7,long_distance,in_person,milestone
Give me some time to think.,3,breaking_up,email,separation
You’re my everything and always will be.,4,committed,in_person,stress
"Hey, what’s vibe like?",2,breaking_up,email,conflict
Can we hang out later?,2,early_dating,in_person,conflict
I’d rather avoid this conversation.,3,married,phone,conflict
Can we just hang out and forget this excuses?,6,early_dating,text,separation
You always hiding things to manipulate me.,0,breaking_up,in_person,happiness
I feel threatened by your chat with them.,5,married,in_person,separation
I love you more every day.,4,breaking_up,in_person,conflict
This excuses is tearing us apart.,1,breaking_up,text,separation
"You’re my everything, but I’m unimportant about this situation. 😢",8,breaking_up,text,conflict
I trust you with my deepest fears. Can we hang out?,7,early_dating,phone,separation
Your ignoring me is causing so much stress.,1,breaking_up,email,conflict
Can we meet up another time?,3,long_distance,in_person,stress
Are you free to chill?,2,breaking_up,phone,happiness
"I dream our time together, but I’m unimportant about this games. 😩",8,breaking_up,in_person,conflict
"Let’s chat this weekend, cool?",2,early_dating,email,happiness
I’m scared to share my true feelings. Will you {listen_action}?,7,married,email,stress
"Let’s meet up this weekend, cool?",2,long_distance,phone,stress
Let’s not bickering about this now.,3,early_dating,email,milestone
Being with you is incredible.,4,early_dating,email,happiness
Are you hang out with someone else?,5,committed,in_person,milestone
I feel betrayed about you catch up with them.,5,breaking_up,text,milestone
"I want to build, but I need some babe time to reflect. 🕰️",8,long_distance,phone,stress
I’m worried about your talk with them.,5,married,text,conflict
Why can’t you just {positive_action} for once?,1,long_distance,email,separation
Give me some space to think about {topic}.,3,breaking_up,email,stress
What do you think about day?,2,committed,phone,separation
I feel vulnerable when you chat.,7,long_distance,text,milestone
"Hey, what’s schedule like?",2,long_distance,email,separation
I don’t trust you when you hang out with others.,5,committed,phone,conflict
This attitude is tearing us apart.,1,married,phone,happiness
I feel distant about being vulnerable with you.,7,long_distance,in_person,conflict
I’m worried about our memories. Can we chat?,7,breaking_up,email,stress
"You make me safe, but your shutting down is confusing. 😕",8,committed,in_person,separation
Why are you meet up with them and not me?,5,breaking_up,in_person,conflict
"If you really valued me, you’d prove it.",0,committed,phone,separation
You always fighting to get your way.,0,married,phone,stress
I’m feeling confused about this.,3,breaking_up,email,conflict
"I’m special about our future, but I’m worried about arguments. 😬",8,long_distance,in_person,stress
Want to join me for talk?,2,long_distance,text,conflict
"I’m blessed when we’re together, but I need you to {positive_action} more. 😊",8,breaking_up,phone,happiness
I don’t trust you when you hiding things.,0,breaking_up,in_person,milestone
Let’s create and move forward.,6,committed,text,conflict
Can we hash out my feelings?,7,early_dating,text,separation
Can we hang out and start fresh?,6,breaking_up,in_person,milestone
Let’s talk and find a solution.,6,married,phone,conflict
Want to catch up soon?,2,early_dating,email,milestone
"I can’t get enough of our moments together, but I’m angry about your behavior. 😔",8,early_dating,email,separation
You’re the babe of my dreams.,4,early_dating,in_person,happiness
Are you free to chat?,2,long_distance,phone,milestone
You never {positive_action} unless I fix this.,0,committed,in_person,conflict
I trust you with my deepest fears. Can we chat?,7,breaking_up,email,stress
I’m not ready for support.,3,married,text,separation
I’m worried about our love. Can we catch up?,7,breaking_up,text,conflict
Let’s catch up and see what happens.,2,committed,phone,conflict
You’re trying to manipulate me again.,0,breaking_up,phone,stress
Let’s table this conversation for now.,3,married,email,happiness
I deserve better than your behavior.,0,breaking_up,email,milestone
Can we meet up another time?,3,breaking_up,email,milestone
"I’m loved, but your arguments is too much. 😩",8,committed,email,conflict
Let’s cherish and move forward.,6,committed,email,stress
"Hey, what’s plan like?",2,early_dating,phone,stress
"You’re my babe, always.I’m incredible with you by my side.",4,married,phone,happiness
Want to chill soon?,2,married,text,happiness
I’d rather ignore this conversation.,3,long_distance,email,happiness
You bring babe to my life.,4,married,email,happiness
You’re my everything and always will be.,4,early_dating,phone,milestone
Do you want to hang out with me?,2,breaking_up,email,conflict
You need to do what I say or else.,0,committed,in_person,conflict
"I adore you, but why do you keep lying? 😕",8,committed,text,stress
Can we discuss this {delay_time}?,3,long_distance,email,separation
Being with you is beautiful.,4,breaking_up,email,milestone
Let’s spend and move forward.,6,committed,phone,conflict
Any plans for plan?,2,early_dating,email,happiness
I’m scared to share my true feelings. Will you {listen_action}?,7,long_distance,in_person,happiness
I’m not sure I want to sort out.,3,married,email,happiness
Give me some space to think about {topic}.,3,early_dating,in_person,happiness
I’d rather not disagreeing about this.,3,committed,in_person,happiness
You’re just trying to control the situation.,0,long_distance,text,milestone
Why can’t you just {positive_action} for once?,1,married,in_person,conflict
Why do you always talk with them instead of me?,5,long_distance,text,milestone
Can we talk later?,2,early_dating,in_person,conflict
I’m so blessed when I’m with you.,4,long_distance,text,milestone
You never {positive_action} unless I change.,0,long_distance,email,stress
You’re the mi amor of my dreams.,4,early_dating,in_person,stress
I’m so angry about your excuses.,1,breaking_up,phone,stress
Your ignoring me is causing so much stress.,1,married,phone,milestone
"I want to cherish, but I need some babe reassurance. 🤝",8,breaking_up,email,separation
Just wondering about schedule.,2,married,in_person,stress
"You make me grateful, but your hiding things is confusing. 😕",8,married,phone,milestone
I’m feeling really frustrated about this.,7,married,phone,happiness
You need to do what I say or else.,0,breaking_up,in_person,milestone
Are you talk with someone else?,5,married,in_person,conflict
You’re making me feel unimportant on purpose.,0,early_dating,email,separation
Are you catch up with them more than me?,5,early_dating,in_person,milestone
Being with you is wonderful.,4,committed,phone,milestone
I need you to know I’m feeling ignored right now.,7,early_dating,text,happiness
Being with you feels happy.,4,committed,text,happiness
Are you free to hang out?,2,committed,email,milestone
You seem really interested in vibe.,5,married,email,milestone
Let’s put this {conflict_noun} behind us.,6,long_distance,text,milestone
Let’s not arguing about this now.,3,early_dating,email,conflict
"I adore you, but I’m unimportant about our attitude. 😢",8,early_dating,in_person,milestone
You’re always hiding things and it’s exhausting.,1,breaking_up,text,milestone
Can we hang out another time?,3,long_distance,text,separation
"Let’s catch up this weekend, cool?",2,long_distance,phone,happiness
Can we go over my feelings?,7,long_distance,in_person,separation
"You make me excited, but your hiding things hurts me. 😢",8,committed,in_person,separation
You’re spending too much time chill with them.,5,long_distance,phone,happiness
"I cherish you, but I’m hurt by your ignoring me. 😢",8,married,text,separation
You keep hiding things and it’s cold.,1,early_dating,email,happiness
Are you chat with them more than me?,5,long_distance,email,happiness
I can’t wait to plan with you.,4,breaking_up,in_person,milestone
Let’s not fighting about this now.,3,married,in_person,milestone
You always hiding things to manipulate me.,0,long_distance,email,conflict
"I adore our time together, but I’m angry about this arguments. 😩",8,early_dating,phone,stress
"You make me happy, but your fighting is confusing. 😕",8,committed,email,stress
You need to stop lying now.,1,married,email,separation
You only {positive_action} when it benefits you.,0,committed,phone,separation
I’m feeling overwhelmed by {topic}.,3,committed,in_person,happiness
You’re my forever world.,4,married,in_person,separation
You’re the incredible one for me.,4,early_dating,phone,separation
Why can’t you just step up for once?,0,breaking_up,email,milestone
"I want to share with you, but I need you to understand me better. 💬",8,early_dating,phone,stress
This attitude is tearing us apart.,1,committed,text,stress
Let’s focus on {different_topic}.,3,committed,phone,happiness
We can’t keep having these {conflict_noun} fights.,1,breaking_up,in_person,conflict
Let’s not disagreeing about this now.,3,breaking_up,email,separation
I’m so excited when I’m with you.,4,early_dating,in_person,stress
Why do you chat with them so much?,5,married,phone,stress
"I’m here for you, and I want us to work through this.",6,breaking_up,in_person,happiness
Any plans for plan?,2,married,email,happiness
You’re the beautiful one for me.,4,committed,email,milestone
"I’m here for you, and I want us to work through this.",6,long_distance,email,separation
Want to join me for talk?,2,long_distance,email,happiness
"I cherish you, but I’m angry about our games. 😢",8,committed,phone,conflict
Just wondering about plan.,2,committed,email,milestone
"I love our time together, but I’m betrayed about this arguments. 😩",8,breaking_up,text,happiness
I dream our life moments.,4,committed,in_person,conflict
What do you think about plan?,2,early_dating,text,happiness
You only {positive_action} when it benefits you.,0,committed,phone,milestone
I’m not ready to hash out yet.,3,long_distance,phone,happiness
I’m not ready to talk yet.,3,committed,email,separation
You never respect my dreams.,1,committed,email,happiness
I’m tired of lying with you.,1,early_dating,email,milestone
I don’t trust you when you shutting down.,0,early_dating,in_person,conflict
I don’t want to lose you. Let’s sort out this.,6,long_distance,phone,milestone
Are you talk with them more than me?,5,early_dating,phone,conflict
I’m thinking about vibe.,2,breaking_up,text,separation
I’m uncomfortable with you chill with them.,5,married,text,stress
I’m feeling overwhelmed by {topic}.,3,married,email,stress
I’m opening up to you because I trust you.,7,breaking_up,phone,separation
What’s up with mood?,2,married,in_person,separation
Why do you hang out with them so much?,5,long_distance,text,separation
"You’re my mi amor, always.I’m perfect with you by my side.",4,breaking_up,in_person,happiness
Why do you always talk with them instead of me?,5,married,email,conflict
You need to do what I say or else.,0,married,in_person,separation
You’re my everything and always will be.,4,long_distance,phone,happiness
Are you chill with them more than me?,5,married,email,conflict
I need you to know how I really feel.,7,married,email,separation
I value our relationship. Can we meet up?,6,breaking_up,email,separation
You need to do what I say or else.,0,long_distance,phone,stress
Can we hash out this calmly?,6,early_dating,email,happiness
I’m so happy with you in my life.,4,early_dating,text,conflict
I don’t trust you when you catch up with others.,5,long_distance,phone,happiness
Let’s table this conversation for now.,3,committed,in_person,separation
Being with you is special.,4,married,email,happiness
I’m only happy when you step up.,0,long_distance,email,happiness
"You make me blessed, but your ignoring me is confusing. 😕",8,committed,email,separation
"If you don’t fix this, I’m done.",0,married,email,conflict
I feel left out when you chat with others.,5,committed,phone,conflict
I don’t want this games to come between us.,6,committed,phone,milestone
You always ignoring me to get what you want.,0,long_distance,text,milestone
Do you want to meet up with me?,2,breaking_up,text,milestone
"Let’s brush off this for now, okay?",3,early_dating,phone,milestone
Let’s focus on {different_topic}.,3,long_distance,in_person,stress
You’re the world of my dreams.,4,breaking_up,text,stress
"I’m beautiful about our love, but I need more everything communication. 💕",8,early_dating,text,conflict
Want to join me for chill?,2,married,in_person,stress
Are you hang out with them more than me?,5,married,email,conflict
"I can’t get enough of our time together, but I need some heart space. 🤗",8,long_distance,in_person,stress
I need your honesty. Can we go over?,7,early_dating,in_person,stress
Can we deal with this later?,3,committed,phone,conflict
"You’re my everything, but I’m unimportant about this situation. 😢",8,committed,in_person,separation
I’m not sure if I’m doing this right. Can you {support_action} me?,7,committed,email,separation
You only {positive_action} when it benefits you.,0,married,text,stress
Want to join me for catch up?,2,committed,in_person,milestone
Being with you feels blessed.,4,married,phone,milestone
I trust you with my deepest fears. Can we catch up?,7,breaking_up,email,separation
You’re making me feel angry on purpose.,0,married,phone,happiness
I need your honesty. Can we discuss?,7,married,phone,milestone
What do you think about mood?,2,married,email,milestone
Why do you chat with them so much?,5,long_distance,phone,milestone
I’m worried about your hang out with them.,5,breaking_up,in_person,stress
Can we just chill and forget this behavior?,6,long_distance,text,separation
"You’re my everything, but I’m hurt about this situation. 😢",8,early_dating,phone,happiness
I’m so excited when I’m with you.,4,long_distance,phone,milestone
Let’s plan and move forward.,6,early_dating,in_person,conflict
I’m opening up to you because I trust you.,7,married,in_person,happiness
How was your schedule today?,2,long_distance,phone,happiness
"You’re my world, but I need some world boundaries. 😊",8,married,email,happiness
I can’t wait to cherish with you.,4,long_distance,text,stress
I hate when we fighting. Can we hang out and fix this?,6,early_dating,email,conflict
I trust you with my deepest fears. Can we chat?,7,breaking_up,in_person,conflict
"If you really valued me, you’d make it right.",0,married,text,milestone
"I’m blessed when we’re together, but I need you to {positive_action} more. 😊",8,married,email,stress
I’m so excited when I’m with you.,4,early_dating,text,milestone
I value our relationship. Can we meet up?,6,long_distance,in_person,stress
We need to talk about your arguments.,1,married,in_person,conflict
I value our relationship. Can we chill?,6,breaking_up,email,milestone
"I cherish you, but I’m frustrated with your attitude. 😤",8,married,in_person,conflict
"I adore you, but I’m frustrated with our arguments. 😤",8,committed,in_person,stress
You always blaming me to get what you want.,0,early_dating,phone,stress
I feel vulnerable when you chill.,7,married,in_person,conflict
I deserve better than your games.,0,committed,email,happiness
I feel like I’m taking a risk by {vulnerable_action}.,7,married,email,stress
I want us to be happy together.,6,long_distance,text,conflict
"I’m loved when we’re together, but I need you to {positive_action} more. 😊",8,married,in_person,milestone
Let’s work together to fix this.,6,early_dating,in_person,milestone
"Let’s ignore this for now, okay?",3,long_distance,in_person,stress
You’re my world and always will be.,4,committed,phone,conflict
You always hiding things to get your way.,0,long_distance,phone,conflict
What’s new with your plan?,2,breaking_up,email,happiness
I’m willing to listen and {compromise_action}.,6,breaking_up,phone,stress
Give me some space to think about {topic}.,3,married,phone,separation
I value our relationship. Can we talk?,6,long_distance,phone,conflict
I trust you with my deepest fears. Can we chat?,7,breaking_up,in_person,stress
I can’t wait to share with you.,4,committed,email,stress
Can we hang out and start fresh?,6,early_dating,email,stress
Why do you catch up with them so much?,5,early_dating,email,stress
I’m tired of shutting down with you.,1,early_dating,phone,separation
I feel unsure about being vulnerable with you.,7,married,phone,happiness
"I’m special about our relationship, but I need more mi amor effort. 💪",8,married,in_person,happiness
I don’t like the way you talk with them.,5,breaking_up,email,conflict
"If you don’t do this, I’m done.",0,committed,in_person,separation
Can we go over this calmly?,6,breaking_up,text,happiness
Do you want to hang out with me?,2,long_distance,email,separation
"Hey, what’s mood like?",2,committed,text,stress
I’m scared to share my true feelings. Will you {listen_action}?,7,early_dating,phone,conflict
I hate when we disagreeing. Can we chat and fix this?,6,married,in_person,stress
"I think our time together, but I need some joy space. 🤗",8,long_distance,phone,stress
I’m not sure if I’m doing this right. Can you {support_action} me?,7,married,in_person,happiness
I’m tired of hiding things with you.,1,long_distance,text,conflict
"Let’s put off this for now, okay?",3,married,phone,stress
I’m sorry about earlier. Let’s cherish and move on.,6,committed,in_person,conflict
Do this or I’ll leave.,0,committed,in_person,stress
Why are you hang out with them and not me?,5,early_dating,text,stress
I’m so grateful with you in my life.,4,committed,email,milestone
Can we sort out this calmly?,6,committed,phone,conflict
You’re the special one for me.,4,married,in_person,milestone
"You make me grateful, but your excuses is really selfish. 😩",8,breaking_up,text,separation
We need to talk about your secrets.,1,committed,in_person,milestone
"I adore you, but I’m hurt about our attitude issues., 😢",8,long_distance,text,happiness
"You make me safe, but your excuses is really distant. 😩",8,married,phone,stress
Can we meet up another time?,3,early_dating,email,separation
I’m uncomfortable with you chat with them.,5,committed,text,happiness
"I feel so distant opening up, but I trust you.",7,breaking_up,email,conflict
Want to join me for meet up?,2,married,in_person,milestone
I can’t wait to plan with you.,4,early_dating,email,conflict
"If you loved me, you’d fix this.",0,committed,text,conflict
Stop hiding things with me.,1,long_distance,email,conflict
We need to talk about your excuses.,1,committed,text,happiness
Why do you always have to clashing like this?,1,early_dating,email,stress
Let’s put this {conflict_noun} behind us.,6,committed,email,separation
You only {positive_action} when it benefits you.,0,married,text,conflict
I’m worried about your talk with them.,5,married,email,happiness
Why were you hang out with them? Am I not enough?,5,married,in_person,conflict
You’re making me feel unimportant on purpose.,0,committed,phone,happiness
I don’t like it when you talk with others.,5,early_dating,in_person,happiness
I need you to know I’m feeling unimportant right now.,7,early_dating,phone,separation
Let’s not disagreeing about this now.,3,early_dating,text,happiness
You seem really interested in week.,5,long_distance,phone,stress
"Let’s skip this for now, okay?",3,committed,email,milestone
I don’t trust you when you shutting down.,0,early_dating,text,conflict
Give me some space to think about {topic}.,3,breaking_up,phone,stress
Do you want to chat with me?,2,committed,phone,happiness
How was your mood today?,2,committed,in_person,happiness
You only {positive_action} when it benefits you.,0,committed,email,milestone
Why can’t you just change for once?,0,committed,phone,conflict
I don’t want this excuses to come between us.,6,early_dating,email,conflict
You’re my everything and always will be.,4,married,email,happiness
