Input_Sequence,Target_Value
"0.8139682890041526,0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788",0.9928868492160164
"0.8420114062884005,0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164",0.9976000741492778
"0.8679457189458079,0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778",0.9998148250281604
"0.8917062748888882,0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604",0.9995255550431251
"0.9132335661704393,0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251",0.9967329886664036
"0.9324736780202824,0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036",0.9914441198375697
"0.9493784238739756,0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697",0.9836721944473249
"0.9639054660553243,0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249",0.9734366771633683
"0.9760184218104399,0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683",0.9607632026814362
"0.985686954427788,0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362",0.9456835115235996
"0.9928868492160164,0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996",0.9282353705446159
"0.9976000741492778,0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159",0.9084624783454199
"0.9998148250281604,0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199",0.8864143558306506
"0.9995255550431251,0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506",0.8621462221843063
"0.9967329886664036,0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063",0.835718856574146
"0.9914441198375697,0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146",0.8071984459311994
"0.9836721944473249,0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994",0.776656419185614
"0.9734366771633683,0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614",0.7441692683739977
"0.9607632026814362,0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977",0.7098183570662889
"0.9456835115235996,0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889",0.6736897165919457
"0.9282353705446159,0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457",0.6358738305758035
"0.9084624783454199,0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035",0.5964654083232273
"0.8864143558306506,0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273",0.5555631476221117
"0.8621462221843063,0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117",0.513269487555788
"0.835718856574146,0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788",0.4696903519459145
"0.8071984459311994,0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145",0.4249348840678924
"0.776656419185614,0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924",0.37911517330321154
"0.7441692683739977,0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154",0.33234597441331465
"0.7098183570662889,0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465",0.2847444201380626
"0.6736897165919457,0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626",0.23642972783858707
"0.6358738305758035,0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707",0.18752290091924165
"0.5964654083232273,0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165",0.13814642577643546
"0.5555631476221117,0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546",0.08842396503333558
"0.513269487555788,0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558",0.03848004782872783
"0.4696903519459145,0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783",-0.011560242064297474
"0.4249348840678924,0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474",-0.06157157950873298
"0.37911517330321154,0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298",-0.11142871187853388
"0.33234597441331465,0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388",-0.16100677275189493
"0.2847444201380626,0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493",-0.21018159463728486
"0.23642972783858707,0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486",-0.2588300199490208
"0.18752290091924165,0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208",-0.30683020945354866
"0.13814642577643546,0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866",-0.35406194741393143
"0.08842396503333558,0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143",-0.40040694266831467
"0.03848004782872783,-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467",-0.4457491248883234
"-0.011560242064297474,-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234",-0.4899749352754158
"-0.06157157950873298,-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158",-0.532973610967149
"-0.11142871187853388,-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149",-0.5746374624410662
"-0.16100677275189493,-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662",-0.6148621432214489
"-0.21018159463728486,-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489",-0.6535469112134646
"-0.2588300199490208,-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646",-0.6905948810101928
"-0.30683020945354866,-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928",-0.7259132665406387
"-0.35406194741393143,-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387",-0.7594136134510215
"-0.40040694266831467,-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215",-0.7910120206373449
"-0.4457491248883234,-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449",-0.8206293503744214
"-0.4899749352754158,-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214",-0.8481914265150899
"-0.532973610967149,-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899",-0.8736292202632362
"-0.5746374624410662,-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362",-0.896879023055351
"-0.6148621432214489,-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351",-0.9178826061176496
"-0.6535469112134646,-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496",-0.93658736629914
"-0.6905948810101928,-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914",-0.9529464578154061
"-0.7259132665406387,-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061",-0.9669189095731556
"-0.7594136134510215,-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556",-0.9784697277816927
"-0.7910120206373449,-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927",-0.9875699835943296
"-0.8206293503744214,-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296",-0.9941968855602381
"-0.8481914265150899,-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381",-0.9983338367052883
"-0.8736292202632362,-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883",-0.9999704760989149
"-0.896879023055351,-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149",-0.9991027048029089
"-0.9178826061176496,-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089",-0.9957326961371449
"-0.93658736629914,-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449",-0.9898688902365352
"-0.9529464578154061,-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352",-0.981525972912842
"-0.9669189095731556,-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842",-0.9707248388742866
"-0.9784697277816927,-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866",-0.9574925393950745
"-0.9875699835943296,-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745",-0.9418622145658946
"-0.9941968855602381,-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946",-0.9238730102950713
"-0.9983338367052883,-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713",-0.9035699802682392
"-0.9999704760989149,-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392",-0.8810039731120792
"-0.9991027048029089,-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792",-0.8562315050447148
"-0.9957326961371449,-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148",-0.8293146183317122
"-0.9898688902365352,-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122",-0.800320725902179
"-0.981525972912842,-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179",-0.769322442514122
"-0.9707248388742866,-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122",-0.7363974028918977
"-0.9574925393950745,-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977",-0.7016280672912412
"-0.9418622145658946,-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412",-0.6651015149788218
"-0.9238730102950713,-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218",-0.6269092261435582
"-0.9035699802682392,-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582",-0.5871468527858912
"-0.8810039731120792,-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912",-0.5459139791588185
"-0.8562315050447148,-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185",-0.5033138723606636
"-0.8293146183317122,-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636",-0.45945322370421515
"-0.800320725902179,-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515",-0.4144418815099734
"-0.769322442514122,-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734",-0.3683925759927202
"-0.7363974028918977,-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202",-0.32142063693042794
"-0.7016280672912412,-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794",-0.27364370482260353
"-0.6651015149788218,-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353",-0.225181436261465
"-0.6269092261435582,-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465",-0.17615520425384543
"-0.5871468527858912,-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543",-0.1266877942443624
"-0.5459139791588185,-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624",-0.07690309660115911
"-0.5033138723606636,-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911",-0.026925796334381205
"-0.45945322370421515,-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205",0.023118939175514847
"-0.4144418815099734,-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847",0.07310577365754255
"-0.3683925759927202,-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255",0.12290951585294987
"-0.32142063693042794,-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987",0.17240543305480283
"-0.27364370482260353,-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283",0.22146956349913308
"-0.225181436261465,-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308",0.26997902682527064
"-0.17615520425384543,-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064",0.31781233182781893
"-0.1266877942443624,-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893",0.36484968072951135
"-0.07690309660115911,-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135",0.4109732692129035
"-0.026925796334381205,0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035",0.45606758145947573
"0.023118939175514847,0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573",0.5000196794572255
"0.07310577365754255,0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255",0.5427194858521823
"0.12290951585294987,0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823",0.5840600596354499
"0.17240543305480283,0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823,0.5840600596354499",0.6239378639753186
"0.22146956349913308,0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823,0.5840600596354499,0.6239378639753186",0.6622530255236697
"0.26997902682527064,0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823,0.5840600596354499,0.6239378639753186,0.6622530255236697",0.6989095845472408
"0.31781233182781893,0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823,0.5840600596354499,0.6239378639753186,0.6622530255236697,0.6989095845472408",0.7338157352573031
"0.36484968072951135,0.4109732692129035,0.45606758145947573,0.5000196794572255,0.5427194858521823,0.5840600596354499,0.6239378639753186,0.6622530255236697,0.6989095845472408,0.7338157352573031",0.7668840557358485
