id,text,label,Location,Purchase Frequency,Preferred Category,Loyalty Status,Device Used,Subscription Status,Feedback Sentiment Score,Days Since Last Purchase
135,"The delivery was late, and the item was damaged.",Neutral,Phoenix,Medium,Toys,Occasional,Desktop,No,-0.05,74
136,Decent product for the price.,Positive,Los Angeles,Medium,Home Goods,Occasional,Tablet,No,0.64,4
137,Absolutely love this! Worth every penny.,Negative,San Antonio,High,Home Goods,New,Tablet,Yes,-0.86,24
138,Not worth the money. Save your cash.,Neutral,Los Angeles,High,Clothing,New,Desktop,No,-0.17,46
139,"It works fine, nothing special though.",Positive,New York,Medium,Sports,New,Tablet,Yes,0.65,70
140,Great service and fast shipping!,Negative,Houston,Low,Home Goods,Regular,Desktop,Yes,-0.68,12
141,The product is amazing! Highly recommend it.,Neutral,San Antonio,High,Electronics,Occasional,Mobile,Yes,-0.05,62
142,"Terrible quality, would not buy again.",Positive,New York,Low,Toys,Regular,Mobile,Yes,0.97,84
143,"It's okay, but could be better.",Negative,Houston,Medium,Books,Regular,Desktop,No,-0.67,90
144,Best purchase ever! Love the features.,Neutral,Los Angeles,Low,Toys,New,Desktop,No,0.15,76
145,"The delivery was late, and the item was damaged.",Positive,New York,Medium,Electronics,Regular,Desktop,Yes,0.56,62
146,Decent product for the price.,Negative,San Antonio,Low,Clothing,Occasional,Tablet,Yes,-0.77,97
147,Absolutely love this! Worth every penny.,Neutral,San Antonio,Medium,Electronics,Occasional,Tablet,No,-0.18,62
148,Not worth the money. Save your cash.,Positive,Philadelphia,Medium,Sports,Occasional,Desktop,No,0.95,76
149,"It works fine, nothing special though.",Negative,Phoenix,Low,Sports,Regular,Desktop,Yes,-0.93,58
150,Great service and fast shipping!,Neutral,Chicago,Medium,Sports,Regular,Tablet,No,0.12,38
151,The product is amazing! Highly recommend it.,Positive,Houston,High,Home Goods,Occasional,Tablet,No,0.96,68
152,"Terrible quality, would not buy again.",Negative,Philadelphia,High,Clothing,Regular,Desktop,Yes,-0.78,17
153,"It's okay, but could be better.",Neutral,Chicago,Low,Sports,New,Tablet,No,-0.04,10
154,Best purchase ever! Love the features.,Positive,Chicago,Medium,Books,New,Tablet,Yes,0.8,83
155,"The delivery was late, and the item was damaged.",Negative,New York,Medium,Books,Occasional,Mobile,No,-0.63,43
156,Decent product for the price.,Neutral,Chicago,Medium,Electronics,New,Desktop,Yes,0.06,33
157,Absolutely love this! Worth every penny.,Positive,Phoenix,Low,Sports,Regular,Desktop,Yes,0.5,37
158,Not worth the money. Save your cash.,Negative,San Antonio,Medium,Home Goods,Occasional,Tablet,Yes,-0.61,28
159,"It works fine, nothing special though.",Neutral,Philadelphia,High,Books,Regular,Mobile,No,-0.14,46
160,Great service and fast shipping!,Positive,Chicago,Medium,Toys,Occasional,Desktop,No,0.72,2
161,The product is amazing! Highly recommend it.,Negative,New York,Medium,Clothing,Occasional,Desktop,Yes,-0.86,46
162,"Terrible quality, would not buy again.",Neutral,Phoenix,Medium,Toys,Regular,Tablet,Yes,0.17,38
163,"It's okay, but could be better.",Positive,Los Angeles,Low,Books,Regular,Desktop,No,0.75,38
164,Best purchase ever! Love the features.,Negative,San Antonio,Medium,Books,Occasional,Tablet,Yes,-0.74,21
165,"The delivery was late, and the item was damaged.",Neutral,San Antonio,Medium,Electronics,Occasional,Mobile,No,-0.17,23
166,Decent product for the price.,Positive,Philadelphia,Low,Electronics,Regular,Mobile,No,0.95,33
167,Absolutely love this! Worth every penny.,Negative,San Antonio,High,Sports,Occasional,Desktop,No,-0.88,90
168,Not worth the money. Save your cash.,Neutral,Chicago,Low,Clothing,Occasional,Tablet,Yes,-0.03,43
169,"It works fine, nothing special though.",Positive,New York,High,Sports,Occasional,Mobile,Yes,0.99,94
170,Great service and fast shipping!,Negative,San Antonio,Medium,Electronics,Occasional,Desktop,Yes,-0.94,68
171,The product is amazing! Highly recommend it.,Neutral,San Antonio,Low,Home Goods,Regular,Desktop,Yes,0.09,70
172,"Terrible quality, would not buy again.",Positive,Los Angeles,Medium,Clothing,Occasional,Desktop,Yes,0.63,98
173,"It's okay, but could be better.",Negative,Los Angeles,Medium,Home Goods,New,Tablet,Yes,-0.79,64
174,Best purchase ever! Love the features.,Neutral,Houston,Low,Sports,Occasional,Tablet,No,-0.03,84
175,"The delivery was late, and the item was damaged.",Positive,Phoenix,Medium,Electronics,Occasional,Mobile,No,0.97,64
176,Decent product for the price.,Negative,Chicago,Medium,Clothing,Occasional,Tablet,Yes,-0.99,37
177,Absolutely love this! Worth every penny.,Neutral,San Antonio,Medium,Sports,Regular,Tablet,No,-0.05,79
178,Not worth the money. Save your cash.,Positive,San Antonio,Low,Books,Occasional,Desktop,No,0.93,23
179,"It works fine, nothing special though.",Negative,New York,Medium,Sports,New,Desktop,Yes,-0.54,73
180,Great service and fast shipping!,Neutral,Houston,Low,Toys,Regular,Mobile,No,-0.08,34
181,The product is amazing! Highly recommend it.,Positive,Phoenix,Medium,Books,New,Desktop,Yes,0.62,34
182,"Terrible quality, would not buy again.",Negative,Houston,Low,Home Goods,Regular,Desktop,Yes,-0.77,27
183,"It's okay, but could be better.",Neutral,Philadelphia,High,Books,Occasional,Desktop,No,0.1,80
184,Best purchase ever! Love the features.,Positive,Phoenix,Medium,Sports,New,Tablet,No,0.58,4
185,"The delivery was late, and the item was damaged.",Negative,San Antonio,Medium,Books,New,Desktop,Yes,-0.61,92
186,Decent product for the price.,Neutral,San Antonio,Medium,Toys,New,Mobile,Yes,0.01,81
187,Absolutely love this! Worth every penny.,Positive,Phoenix,Low,Sports,New,Mobile,No,0.57,76
188,Not worth the money. Save your cash.,Negative,San Antonio,Low,Toys,Occasional,Desktop,No,-0.66,69
189,"It works fine, nothing special though.",Neutral,Chicago,High,Books,Occasional,Desktop,No,0.05,99
190,Great service and fast shipping!,Positive,Phoenix,High,Toys,Regular,Mobile,Yes,0.81,94
191,The product is amazing! Highly recommend it.,Negative,Houston,Low,Books,Regular,Tablet,No,-0.62,63
192,"Terrible quality, would not buy again.",Neutral,Phoenix,Medium,Clothing,Occasional,Desktop,Yes,-0.13,78
193,"It's okay, but could be better.",Positive,San Antonio,Medium,Books,Occasional,Mobile,No,0.85,14
194,Best purchase ever! Love the features.,Negative,Chicago,Medium,Electronics,Occasional,Tablet,Yes,-0.56,66
195,"The delivery was late, and the item was damaged.",Neutral,Chicago,Low,Toys,New,Mobile,No,0.01,28
196,Decent product for the price.,Positive,Philadelphia,Low,Toys,Occasional,Tablet,Yes,0.74,21
197,Absolutely love this! Worth every penny.,Negative,Houston,Low,Home Goods,Regular,Mobile,Yes,-0.6,79
198,Not worth the money. Save your cash.,Neutral,Los Angeles,High,Home Goods,Occasional,Mobile,No,-0.14,87
199,"It works fine, nothing special though.",Positive,Los Angeles,Medium,Electronics,Occasional,Tablet,Yes,0.67,10
200,Great service and fast shipping!,Negative,Phoenix,Medium,Toys,Occasional,Desktop,No,-0.57,26
201,The product is amazing! Highly recommend it.,Neutral,Philadelphia,High,Toys,New,Mobile,No,-0.0,35
202,"Terrible quality, would not buy again.",Positive,New York,Medium,Home Goods,Occasional,Desktop,Yes,0.92,34
203,"It's okay, but could be better.",Negative,Phoenix,High,Home Goods,New,Mobile,No,-0.87,2
204,Best purchase ever! Love the features.,Neutral,Philadelphia,Medium,Books,Occasional,Tablet,No,-0.04,95
205,"The delivery was late, and the item was damaged.",Positive,Houston,Low,Sports,Occasional,Desktop,Yes,0.91,43
206,Decent product for the price.,Negative,Houston,High,Toys,Occasional,Tablet,Yes,-0.92,44
207,Absolutely love this! Worth every penny.,Neutral,Houston,Medium,Toys,Regular,Tablet,Yes,0.16,44
208,Not worth the money. Save your cash.,Positive,Houston,Low,Books,Regular,Desktop,Yes,0.65,43
209,"It works fine, nothing special though.",Negative,Houston,Medium,Toys,Regular,Desktop,Yes,-0.51,52
210,Great service and fast shipping!,Neutral,Philadelphia,Low,Electronics,Occasional,Desktop,No,0.13,5
211,The product is amazing! Highly recommend it.,Positive,Philadelphia,Medium,Home Goods,Regular,Tablet,No,0.73,19
212,"Terrible quality, would not buy again.",Negative,Chicago,High,Home Goods,New,Tablet,Yes,-0.63,30
213,"It's okay, but could be better.",Neutral,Los Angeles,High,Sports,Occasional,Tablet,No,0.02,49
214,Best purchase ever! Love the features.,Positive,San Antonio,High,Home Goods,Occasional,Desktop,No,0.93,63
215,"The delivery was late, and the item was damaged.",Negative,Houston,Low,Clothing,Regular,Mobile,Yes,-0.74,81
216,Decent product for the price.,Neutral,New York,Medium,Electronics,Regular,Desktop,Yes,0.2,29
217,Absolutely love this! Worth every penny.,Positive,San Antonio,Low,Electronics,Regular,Mobile,No,0.57,76
218,Not worth the money. Save your cash.,Negative,Philadelphia,High,Books,Occasional,Tablet,Yes,-0.66,72
219,"It works fine, nothing special though.",Neutral,New York,Medium,Clothing,Occasional,Mobile,No,-0.1,79
220,Great service and fast shipping!,Positive,New York,Medium,Toys,Occasional,Desktop,Yes,0.6,53
221,The product is amazing! Highly recommend it.,Negative,New York,Medium,Sports,Occasional,Desktop,No,-0.8,98
222,"Terrible quality, would not buy again.",Neutral,Chicago,Medium,Electronics,Occasional,Desktop,No,-0.05,28
223,"It's okay, but could be better.",Positive,Philadelphia,Medium,Clothing,Regular,Mobile,Yes,0.52,85
224,Best purchase ever! Love the features.,Negative,New York,High,Clothing,Occasional,Desktop,Yes,-0.79,53
225,"The delivery was late, and the item was damaged.",Neutral,Houston,High,Electronics,Occasional,Mobile,No,0.18,17
226,Decent product for the price.,Positive,Phoenix,Low,Books,Occasional,Tablet,No,0.73,82
227,Absolutely love this! Worth every penny.,Negative,New York,Medium,Clothing,Regular,Mobile,No,-0.85,24
228,Not worth the money. Save your cash.,Neutral,Chicago,High,Home Goods,Occasional,Tablet,No,0.18,88
229,"It works fine, nothing special though.",Positive,San Antonio,Low,Clothing,Regular,Mobile,Yes,0.75,76
230,Great service and fast shipping!,Negative,Philadelphia,Medium,Toys,New,Tablet,Yes,-0.86,65
231,The product is amazing! Highly recommend it.,Neutral,Chicago,Low,Electronics,Occasional,Desktop,No,0.11,36
232,"Terrible quality, would not buy again.",Positive,New York,Medium,Toys,New,Mobile,Yes,0.61,32
233,"It's okay, but could be better.",Negative,Philadelphia,Low,Books,Occasional,Tablet,Yes,-0.88,69
234,Best purchase ever! Love the features.,Neutral,Phoenix,Medium,Sports,Regular,Desktop,No,-0.07,26
235,"The delivery was late, and the item was damaged.",Positive,New York,Low,Home Goods,Occasional,Desktop,No,0.7,56
236,Decent product for the price.,Negative,Chicago,Medium,Electronics,Regular,Tablet,Yes,-0.71,67
237,Absolutely love this! Worth every penny.,Neutral,Los Angeles,High,Clothing,New,Tablet,Yes,0.01,33
238,Not worth the money. Save your cash.,Positive,Houston,High,Home Goods,New,Mobile,No,0.87,39
239,"It works fine, nothing special though.",Negative,San Antonio,High,Clothing,Occasional,Tablet,Yes,-0.64,84
240,Great service and fast shipping!,Neutral,Chicago,Medium,Books,Occasional,Tablet,Yes,-0.18,58
241,The product is amazing! Highly recommend it.,Positive,Philadelphia,Low,Sports,Occasional,Desktop,No,0.57,12
242,"Terrible quality, would not buy again.",Negative,New York,Low,Electronics,New,Tablet,Yes,-0.89,84
243,"It's okay, but could be better.",Neutral,Houston,High,Books,Regular,Tablet,Yes,0.04,81
244,Best purchase ever! Love the features.,Positive,New York,Medium,Books,Occasional,Tablet,Yes,0.95,43
245,"The delivery was late, and the item was damaged.",Negative,Philadelphia,Low,Sports,Occasional,Desktop,Yes,-0.84,72
246,Decent product for the price.,Neutral,New York,Medium,Books,New,Desktop,No,0.19,13
247,Absolutely love this! Worth every penny.,Positive,Los Angeles,Low,Books,New,Desktop,Yes,0.59,73
248,Not worth the money. Save your cash.,Negative,Houston,Low,Clothing,New,Desktop,Yes,-0.54,83
249,"It works fine, nothing special though.",Neutral,Houston,High,Toys,Occasional,Mobile,Yes,0.12,90
250,Great service and fast shipping!,Positive,Philadelphia,High,Clothing,Regular,Desktop,No,0.69,5
251,The product is amazing! Highly recommend it.,Negative,San Antonio,Medium,Sports,Occasional,Desktop,No,-0.9,45
252,"Terrible quality, would not buy again.",Neutral,Los Angeles,High,Home Goods,Occasional,Mobile,No,-0.04,89
253,"It's okay, but could be better.",Positive,Chicago,Medium,Sports,Occasional,Mobile,Yes,0.61,5
254,Best purchase ever! Love the features.,Negative,New York,Medium,Sports,Regular,Mobile,Yes,-0.72,23
255,"The delivery was late, and the item was damaged.",Neutral,Phoenix,Low,Sports,Occasional,Tablet,No,0.03,35
256,Decent product for the price.,Positive,New York,Low,Sports,Regular,Desktop,Yes,0.88,96
257,Absolutely love this! Worth every penny.,Negative,New York,Medium,Books,New,Tablet,No,-0.74,54
258,Not worth the money. Save your cash.,Neutral,Chicago,High,Sports,Regular,Mobile,Yes,-0.06,49
259,"It works fine, nothing special though.",Positive,New York,Medium,Home Goods,Occasional,Mobile,Yes,0.96,70
260,Great service and fast shipping!,Negative,Los Angeles,Low,Sports,Regular,Mobile,Yes,-0.96,78
261,The product is amazing! Highly recommend it.,Neutral,Los Angeles,Low,Clothing,Regular,Mobile,Yes,0.12,93
262,"Terrible quality, would not buy again.",Positive,Houston,High,Books,New,Tablet,No,0.7,37
263,"It's okay, but could be better.",Negative,Philadelphia,Low,Clothing,Regular,Mobile,No,-0.91,22
264,Best purchase ever! Love the features.,Neutral,San Antonio,Medium,Books,Regular,Desktop,Yes,-0.15,84
265,"The delivery was late, and the item was damaged.",Positive,Phoenix,Low,Clothing,Regular,Desktop,No,0.61,8
266,Decent product for the price.,Negative,New York,Low,Electronics,Occasional,Desktop,Yes,-0.94,91
267,Absolutely love this! Worth every penny.,Neutral,New York,Medium,Toys,Occasional,Tablet,No,-0.02,57
268,Not worth the money. Save your cash.,Positive,Chicago,Medium,Toys,Regular,Mobile,Yes,0.67,71
